state,state_po,county_name,percent_republican
ARKANSAS,AR,LITTLE RIVER,0.6896881576430075
ARKANSAS,AR,LOGAN,0.7254134578967302
ARKANSAS,AR,LONOKE,0.7364575645756457
ARKANSAS,AR,MADISON,0.7203625200994007
ARKANSAS,AR,MARION,0.7508090614886731
ARKANSAS,AR,MILLER,0.7018830402088124
ARKANSAS,AR,MISSISSIPPI,0.5347621932747653
ARKANSAS,AR,MONROE,0.5162968099861304
ARKANSAS,AR,MONTGOMERY,0.7426243326777184
ARKANSAS,AR,NEVADA,0.6161429451632778
ARKANSAS,AR,NEWTON,0.7660538236077804
ARKANSAS,AR,OUACHITA,0.5386009058882738
ARKANSAS,AR,PERRY,0.6985601486298189
ARKANSAS,AR,PHILLIPS,0.35179059398820656
ARKANSAS,AR,PIKE,0.7912584777694047
ARKANSAS,AR,POINSETT,0.7125097125097125
ARKANSAS,AR,POLK,0.8040335317701373
ARKANSAS,AR,POPE,0.7202800301298241
ARKANSAS,AR,PRAIRIE,0.7273519163763066
ARKANSAS,AR,PULASKI,0.3833930002002804
ARKANSAS,AR,RANDOLPH,0.7068506035428751
ARKANSAS,AR,ST. FRANCIS,0.4300134589502019
ARKANSAS,AR,SALINE,0.6883493282149712
ARKANSAS,AR,SCOTT,0.778062678062678
ARKANSAS,AR,SEARCY,0.7926502145922747
ARKANSAS,AR,SEBASTIAN,0.6525304119900531
ARKANSAS,AR,SEVIER,0.7194213064445418
ARKANSAS,AR,SHARP,0.7458959856531936
ARKANSAS,AR,STONE,0.7321110715557138
ARKANSAS,AR,UNION,0.6189179590387119
ARKANSAS,AR,VAN BUREN,0.7333424172230549
ARKANSAS,AR,WASHINGTON,0.5066637348676415
ARKANSAS,AR,WHITE,0.7743488004702598
ARKANSAS,AR,WOODRUFF,0.5239206534422404
ARKANSAS,AR,YELL,0.7156390743904333
CALIFORNIA,CA,ALAMEDA,0.14661009436528874
CALIFORNIA,CA,ALPINE,0.36046511627906974
CALIFORNIA,CA,AMADOR,0.5912371715349047
CALIFORNIA,CA,BUTTE,0.47239546272654975
CALIFORNIA,CA,CALAVERAS,0.583981673582296
CALIFORNIA,CA,COLUSA,0.5354342581423401
CALIFORNIA,CA,CONTRA COSTA,0.24873920737920308
CALIFORNIA,CA,DEL NORTE,0.5371416614354467
CALIFORNIA,CA,EL DORADO,0.5261937579468111
CALIFORNIA,CA,FRESNO,0.43939302703679173
CALIFORNIA,CA,GLENN,0.6111932418162619
CALIFORNIA,CA,HUMBOLDT,0.3101137629544611
CALIFORNIA,CA,IMPERIAL,0.26416585223846456
CALIFORNIA,CA,INYO,0.5253524610437794
CALIFORNIA,CA,KERN,0.530727423893055
CALIFORNIA,CA,KINGS,0.5334807607253428
CALIFORNIA,CA,LAKE,0.4326828870019595
CALIFORNIA,CA,LASSEN,0.7196883314329152
CALIFORNIA,CA,LOS ANGELES,0.22413336252892868
CALIFORNIA,CA,MADERA,0.5417749118574875
CALIFORNIA,CA,MARIN,0.15631888449304604
CALIFORNIA,CA,MARIPOSA,0.5840937253576659
CALIFORNIA,CA,MENDOCINO,0.29052485524455
CALIFORNIA,CA,MERCED,0.4057833844241337
CALIFORNIA,CA,MODOC,0.7117212249208026
CALIFORNIA,CA,MONO,0.4001137225170584
CALIFORNIA,CA,MONTEREY,0.2615660230271048
CALIFORNIA,CA,NAPA,0.28369614808055793
CALIFORNIA,CA,NEVADA,0.4253208337125694
CALIFORNIA,CA,ORANGE,0.4234982100522663
CALIFORNIA,CA,PLACER,0.5203375647427518
CALIFORNIA,CA,PLUMAS,0.5601488218272013
CALIFORNIA,CA,RIVERSIDE,0.4435014526391719
CALIFORNIA,CA,SACRAMENTO,0.3393148946060465
CALIFORNIA,CA,SAN BENITO,0.3576445904032111
CALIFORNIA,CA,SAN BERNARDINO,0.4147508421472729
CALIFORNIA,CA,SAN DIEGO,0.3657118799755052
CALIFORNIA,CA,SAN FRANCISCO,0.09287516757353521
CALIFORNIA,CA,SAN JOAQUIN,0.39674170034706424
CALIFORNIA,CA,SAN LUIS OBISPO,0.416001896169885
CALIFORNIA,CA,SAN MATEO,0.1842619217262965
CALIFORNIA,CA,SANTA BARBARA,0.3188318079485932
CALIFORNIA,CA,SANTA CLARA,0.20580381947651658
CALIFORNIA,CA,SANTA CRUZ,0.17417967567399725
CALIFORNIA,CA,SHASTA,0.6467964973205251
CALIFORNIA,CA,SIERRA,0.5726775956284152
CALIFORNIA,CA,SISKIYOU,0.5534354870193247
CALIFORNIA,CA,SOLANO,0.31255831873483714
CALIFORNIA,CA,SONOMA,0.22230198094727419
CALIFORNIA,CA,STANISLAUS,0.455973417912702
CALIFORNIA,CA,SUTTER,0.5421949109566566
CALIFORNIA,CA,TEHAMA,0.6480675924376778
CALIFORNIA,CA,TRINITY,0.4945480126626803
CALIFORNIA,CA,TULARE,0.5189791158509445
CALIFORNIA,CA,TUOLUMNE,0.5699792392964863
CALIFORNIA,CA,VENTURA,0.3762104592779607
CALIFORNIA,CA,YOLO,0.25263734925082226
CALIFORNIA,CA,YUBA,0.5726584920427863
COLORADO,CO,ADAMS,0.41350786151343816
COLORADO,CO,ALAMOSA,0.4389681510304078
COLORADO,CO,ARAPAHOE,0.3862548919965946
COLORADO,CO,ARCHULETA,0.5810055865921788
COLORADO,CO,BACA,0.8142127264282397
COLORADO,CO,BENT,0.6165023352361183
COLORADO,CO,BOULDER,0.220025300039332
COLORADO,CO,BROOMFIELD,0.3811987582583778
COLORADO,CO,CHAFFEE,0.4792
COLORADO,CO,CHEYENNE,0.8393829401088929
COLORADO,CO,CLEAR CREEK,0.4389703375383566
COLORADO,CO,CONEJOS,0.47588264545002484
COLORADO,CO,COSTILLA,0.3181818181818182
COLORADO,CO,CROWLEY,0.7066142763588736
COLORADO,CO,CUSTER,0.6722113502935421
COLORADO,CO,DELTA,0.6941631923764146
COLORADO,CO,DENVER,0.1889095138796813
COLORADO,CO,DOLORES,0.7521912350597609
COLORADO,CO,DOUGLAS,0.5470589176475608
COLORADO,CO,EAGLE,0.35642072711414186
COLORADO,CO,ELBERT,0.7325697834522469
COLORADO,CO,EL PASO,0.5619013879178724
COLORADO,CO,FREMONT,0.6882082555864015
COLORADO,CO,GARFIELD,0.4961088024178315
COLORADO,CO,GILPIN,0.43791946308724833
COLORADO,CO,GRAND,0.5232883092687471
COLORADO,CO,GUNNISON,0.3494475138121547
COLORADO,CO,HINSDALE,0.5755517826825127
COLORADO,CO,HUERFANO,0.4977531060005287
COLORADO,CO,JACKSON,0.7305458768873403
COLORADO,CO,JEFFERSON,0.4201415705328963
COLORADO,CO,KIOWA,0.8514619883040936
COLORADO,CO,KIT CARSON,0.8014586709886548
COLORADO,CO,LAKE,0.39699906220693965
COLORADO,CO,LA PLATA,0.40407704654895665
COLORADO,CO,LARIMER,0.4257067047657924
COLORADO,CO,LAS ANIMAS,0.546150448991609
COLORADO,CO,LINCOLN,0.7766830870279147
COLORADO,CO,LOGAN,0.7490228348076527
COLORADO,CO,MESA,0.6410441322292764
COLORADO,CO,MINERAL,0.5276073619631901
COLORADO,CO,MOFFAT,0.8130268199233717
COLORADO,CO,MONTEZUMA,0.610748172344066
COLORADO,CO,MONTROSE,0.6788445199660152
COLORADO,CO,MORGAN,0.6810200668896321
COLORADO,CO,OTERO,0.5830572645527686
COLORADO,CO,OURAY,0.4081570996978852
COLORADO,CO,PARK,0.5889411538830758
COLORADO,CO,PHILLIPS,0.7680102915951973
COLORADO,CO,PITKIN,0.24232633279483037
COLORADO,CO,PROWERS,0.7039473684210527
COLORADO,CO,PUEBLO,0.46111690359331686
COLORADO,CO,RIO BLANCO,0.8089855072463769
COLORADO,CO,RIO GRANDE,0.5574629562703288
COLORADO,CO,ROUTT,0.37394537394537397
COLORADO,CO,SAGUACHE,0.40458553791887125
COLORADO,CO,SAN JUAN,0.424901185770751
COLORADO,CO,SAN MIGUEL,0.23862323862323861
COLORADO,CO,SEDGWICK,0.7441348973607038
COLORADO,CO,SUMMIT,0.31532088537158404
COLORADO,CO,TELLER,0.674674605372473
COLORADO,CO,WASHINGTON,0.8412001463593121
COLORADO,CO,WELD,0.5659907847712438
COLORADO,CO,YUMA,0.8035900647046545
CONNECTICUT,CT,FAIRFIELD,0.38004173699992166
CONNECTICUT,CT,HARTFORD,0.36418311770026346
CONNECTICUT,CT,LITCHFIELD,0.5444366905441186
CONNECTICUT,CT,MIDDLESEX,0.4385606607690919
CONNECTICUT,CT,NEW HAVEN,0.4196450715819802
CONNECTICUT,CT,NEW LONDON,0.4376173822938929
CONNECTICUT,CT,TOLLAND,0.4416460012399256
CONNECTICUT,CT,WINDHAM,0.5066013419121264
DELAWARE,DE,KENT,0.49587120298131315
DELAWARE,DE,NEW CASTLE,0.3259448685358873
DELAWARE,DE,SUSSEX,0.590625235831258
DISTRICT OF COLUMBIA,DC,DISTRICT OF COLUMBIA,0.040874744593083774
FLORIDA,FL,ALACHUA,0.3642656586633067
FLORIDA,FL,BAKER,0.8147854994459395
FLORIDA,FL,BAY,0.711170571621328
FLORIDA,FL,BRADFORD,0.7367333443544387
FLORIDA,FL,BREVARD,0.5777501016673444
FLORIDA,FL,BROWARD,0.31366150169901835
FLORIDA,FL,CALHOUN,0.7654990955434962
FLORIDA,FL,CHARLOTTE,0.624836574179758
FLORIDA,FL,CITRUS,0.6832622333751568
FLORIDA,FL,CLAY,0.703990308312125
FLORIDA,FL,COLLIER,0.6172704331075186
FLORIDA,FL,COLUMBIA,0.7095133591110182
FLORIDA,FL,DESOTO,0.626548345350342
FLORIDA,FL,DIXIE,0.8083865592890863
FLORIDA,FL,DUVAL,0.4891944672344261
FLORIDA,FL,ESCAMBIA,0.5824659438967922
FLORIDA,FL,FLAGLER,0.5886649392205624
FLORIDA,FL,FRANKLIN,0.685785536159601
FLORIDA,FL,GADSDEN,0.3042554153665265
FLORIDA,FL,GILCHRIST,0.8004750593824228
FLORIDA,FL,GLADES,0.6882609694463588
FLORIDA,FL,GULF,0.7307006718771425
FLORIDA,FL,HAMILTON,0.6305860805860806
FLORIDA,FL,HARDEE,0.6912831333245417
FLORIDA,FL,HENDRY,0.5573549257759784
FLORIDA,FL,HERNANDO,0.6287048488208452
FLORIDA,FL,HIGHLANDS,0.6471347896510966
FLORIDA,FL,HILLSBOROUGH,0.44652477997523676
FLORIDA,FL,HOLMES,0.8789053323937045
FLORIDA,FL,INDIAN RIVER,0.6076816358159707
FLORIDA,FL,JACKSON,0.6775818639798489
FLORIDA,FL,JEFFERSON,0.514061478090255
FLORIDA,FL,LAFAYETTE,0.828125
FLORIDA,FL,LAKE,0.5994767162182774
FLORIDA,FL,LEE,0.5868237240365174
FLORIDA,FL,LEON,0.353778297794021
FLORIDA,FL,LEVY,0.7102345965455015
FLORIDA,FL,LIBERTY,0.7715412621359223
FLORIDA,FL,MADISON,0.5703703703703704
FLORIDA,FL,MANATEE,0.5696532147207725
FLORIDA,FL,MARION,0.6172467086433887
FLORIDA,FL,MARTIN,0.6201510630361805
FLORIDA,FL,MIAMI-DADE,0.3407443756605768
FLORIDA,FL,MONROE,0.5156551626724422
FLORIDA,FL,NASSAU,0.7352114489239814
FLORIDA,FL,OKALOOSA,0.7128352585394874
FLORIDA,FL,OKEECHOBEE,0.6852706364901486
FLORIDA,FL,ORANGE,0.3573584732964166
FLORIDA,FL,OSCEOLA,0.3587649601300943
FLORIDA,FL,PALM BEACH,0.4112771238593334
FLORIDA,FL,PASCO,0.5892908239646013
FLORIDA,FL,PINELLAS,0.48578298669991854
FLORIDA,FL,POLK,0.5537187757198028
FLORIDA,FL,PUTNAM,0.6684784249781079
FLORIDA,FL,ST. JOHNS,0.6496330046735134
FLORIDA,FL,ST. LUCIE,0.49904506308263574
FLORIDA,FL,SANTA ROSA,0.7446464185993504
FLORIDA,FL,SARASOTA,0.5432479274260793
FLORIDA,FL,SEMINOLE,0.48663826835515084
FLORIDA,FL,SUMTER,0.6877975608165395
FLORIDA,FL,SUWANNEE,0.7642559109874826
FLORIDA,FL,TAYLOR,0.7459634015069968
FLORIDA,FL,UNION,0.8022479803301721
FLORIDA,FL,VOLUSIA,0.5481946877551568
FLORIDA,FL,WAKULLA,0.6847762360758257
FLORIDA,FL,WALTON,0.7657044326188424
FLORIDA,FL,WASHINGTON,0.7742022230190032
GEORGIA,GA,APPLING,0.7835139760410724
GEORGIA,GA,ATKINSON,0.7195402298850575
GEORGIA,GA,BACON,0.83681592039801
GEORGIA,GA,BAKER,0.5381944444444444
GEORGIA,GA,BALDWIN,0.4775999007197816
GEORGIA,GA,BANKS,0.879426523297491
GEORGIA,GA,BARROW,0.7263592567102547
GEORGIA,GA,BARTOW,0.756283185840708
GEORGIA,GA,BEN HILL,0.6298854447439353
GEORGIA,GA,BERRIEN,0.8227617602427921
GEORGIA,GA,BIBB,0.38409802543293503
GEORGIA,GA,BLECKLEY,0.7476879774829112
GEORGIA,GA,BRANTLEY,0.8835105538803365
GEORGIA,GA,BROOKS,0.5841224747474747
GEORGIA,GA,BRYAN,0.6939300072497199
GEORGIA,GA,BULLOCH,0.5963422341602149
GEORGIA,GA,BURKE,0.480269489894129
GEORGIA,GA,BUTTS,0.7060121925583351
GEORGIA,GA,CALHOUN,0.40987654320987654
GEORGIA,GA,CAMDEN,0.6512882916247817
GEORGIA,GA,CANDLER,0.7079457879351582
GEORGIA,GA,CARROLL,0.680605607307178
GEORGIA,GA,CATOOSA,0.7802070486227903
GEORGIA,GA,CHARLTON,0.7348107569721115
GEORGIA,GA,CHATHAM,0.40741203117476055
GEORGIA,GA,CHATTAHOOCHEE,0.5402877697841727
GEORGIA,GA,CHATTOOGA,0.7830828889966068
GEORGIA,GA,CHEROKEE,0.719804003819962
GEORGIA,GA,CLARKE,0.2827508004268943
GEORGIA,GA,CLAY,0.44461901021209743
GEORGIA,GA,CLAYTON,0.13617419959293123
GEORGIA,GA,CLINCH,0.7034623217922606
GEORGIA,GA,COBB,0.4622225446543276
GEORGIA,GA,COFFEE,0.6890406036651096
GEORGIA,GA,COLQUITT,0.7265120375807399
GEORGIA,GA,COLUMBIA,0.665477348902584
GEORGIA,GA,COOK,0.6894502228826151
GEORGIA,GA,COWETA,0.6888492995384241
GEORGIA,GA,CRAWFORD,0.7022797527047914
GEORGIA,GA,CRISP,0.6055644302449414
GEORGIA,GA,DADE,0.8091957705863505
GEORGIA,GA,DAWSON,0.8414789630259244
GEORGIA,GA,DECATUR,0.585261520513319
GEORGIA,GA,DEKALB,0.16351661758118166
GEORGIA,GA,DODGE,0.7163646739905836
GEORGIA,GA,DOOLY,0.5055713915522156
GEORGIA,GA,DOUGHERTY,0.3001730865139203
GEORGIA,GA,DOUGLAS,0.4298209151685199
GEORGIA,GA,EARLY,0.5333333333333333
GEORGIA,GA,ECHOLS,0.8519458544839256
GEORGIA,GA,EFFINGHAM,0.7619575411373518
GEORGIA,GA,ELBERT,0.6625766871165644
GEORGIA,GA,EMANUEL,0.6787531806615776
GEORGIA,GA,EVANS,0.6653750345972875
GEORGIA,GA,FANNIN,0.81544192346766
GEORGIA,GA,FAYETTE,0.5753779981284783
GEORGIA,GA,FLOYD,0.6967753120665742
GEORGIA,GA,FORSYTH,0.7111615642276091
GEORGIA,GA,FRANKLIN,0.829687132439426
GEORGIA,GA,FULTON,0.2730307308219226
GEORGIA,GA,GILMER,0.8202458310498708
GEORGIA,GA,GLASCOCK,0.8884892086330936
GEORGIA,GA,GLYNN,0.6278492834836412
GEORGIA,GA,GORDON,0.8012553404715439
GEORGIA,GA,GRADY,0.6570064039943558
GEORGIA,GA,GREENE,0.6201988251242657
GEORGIA,GA,GWINNETT,0.447685415023254
GEORGIA,GA,HABERSHAM,0.8120421104475775
GEORGIA,GA,HALL,0.7317877047557076
GEORGIA,GA,HANCOCK,0.23547486033519552
GEORGIA,GA,HARALSON,0.8439728801620147
