,state,county,percent_vac
184,AZ,YAVAPAI,0.456
185,AZ,YUMA,0.586
186,CA,ALAMEDA,0.711
187,CA,ALPINE,0.731
188,CA,AMADOR,0.533
189,CA,BUTTE,0.459
190,CA,CALAVERAS,0.471
191,CA,COLUSA,0.477
192,CA,CONTRA COSTA,0.705
193,CA,DEL NORTE,0.388
194,CA,EL DORADO,0.551
195,CA,FRESNO,0.508
196,CA,GLENN,0.445
197,CA,HUMBOLDT,0.576
198,CA,IMPERIAL,0.73
199,CA,INYO,0.517
200,CA,KERN,0.424
201,CA,KINGS,0.355
202,CA,LAKE,0.482
203,CA,LASSEN,0.226
204,CA,LOS ANGELES,0.633
205,CA,MADERA,0.45
206,CA,MARIN,0.798
207,CA,MARIPOSA,0.449
208,CA,MENDOCINO,0.605
209,CA,MERCED,0.398
210,CA,MODOC,0.37
211,CA,MONO,0.621
212,CA,MONTEREY,0.619
213,CA,NAPA,0.725
214,CA,NEVADA,0.574
215,CA,ORANGE,0.639
216,CA,PLACER,0.576
217,CA,PLUMAS,0.498
218,CA,RIVERSIDE,0.505
219,CA,SACRAMENTO,0.567
220,CA,SAN BENITO,0.598
221,CA,SAN BERNARDINO,0.475
222,CA,SAN DIEGO,0.751
223,CA,SAN FRANCISCO,0.762
224,CA,SAN JOAQUIN,0.484
225,CA,SAN LUIS OBISPO,0.582
226,CA,SAN MATEO,0.751
227,CA,SANTA BARBARA,0.617
228,CA,SANTA CLARA,0.759
229,CA,SANTA CRUZ,0.672
230,CA,SHASTA,0.399
231,CA,SIERRA,0.495
232,CA,SISKIYOU,0.433
233,CA,SOLANO,0.591
234,CA,SONOMA,0.699
235,CA,STANISLAUS,0.492
236,CA,SUTTER,0.5
237,CA,TEHAMA,0.345
238,CA,TRINITY,0.439
239,CA,TULARE,0.432
240,CA,TUOLUMNE,0.37
241,CA,VENTURA,0.635
242,CA,YOLO,0.62
243,CA,YUBA,0.382
244,CO,ADAMS,0.571
245,CO,ALAMOSA,0.487
246,CO,ARAPAHOE,0.578
247,CO,ARCHULETA,0.525
248,CO,BACA,0.334
249,CO,BENT,0.212
250,CO,BOULDER,0.702
251,CO,BROOMFIELD,0.711
252,CO,CHAFFEE,0.582
253,CO,CHEYENNE,0.26
254,CO,CLEAR CREEK,0.441
255,CO,CONEJOS,0.403
256,CO,COSTILLA,0.509
257,CO,CROWLEY,0.181
258,CO,CUSTER,0.424
259,CO,DELTA,0.424
260,CO,DENVER,0.665
261,CO,DOLORES,0.376
262,CO,DOUGLAS,0.636
263,CO,EAGLE,0.727
264,CO,ELBERT,0.318
265,CO,EL PASO,0.539
266,CO,FREMONT,0.388
267,CO,GARFIELD,0.551
268,CO,GILPIN,0.536
269,CO,GRAND,0.588
270,CO,GUNNISON,0.629
271,CO,HINSDALE,0.529
272,CO,HUERFANO,0.475
273,CO,JACKSON,0.375
274,CO,JEFFERSON,0.694
275,CO,KIOWA,0.328
276,CO,KIT CARSON,0.325
277,CO,LAKE,0.554
278,CO,LA PLATA,0.646
279,CO,LARIMER,0.605
280,CO,LAS ANIMAS,0.529
281,CO,LINCOLN,0.296
282,CO,LOGAN,0.306
283,CO,MESA,0.441
284,CO,MINERAL,0.691
285,CO,MOFFAT,0.366
286,CO,MONTEZUMA,0.574
287,CO,MONTROSE,0.426
288,CO,MORGAN,0.401
289,CO,OTERO,0.403
290,CO,OURAY,0.602
291,CO,PARK,0.421
292,CO,PHILLIPS,0.467
293,CO,PITKIN,0.793
294,CO,PROWERS,0.356
295,CO,PUEBLO,0.481
296,CO,RIO BLANCO,0.347
297,CO,RIO GRANDE,0.542
298,CO,ROUTT,0.689
299,CO,SAGUACHE,0.301
300,CO,SAN JUAN,0.897
301,CO,SAN MIGUEL,0.774
302,CO,SEDGWICK,0.445
303,CO,SUMMIT,0.788
304,CO,TELLER,0.48
305,CO,WASHINGTON,0.265
306,CO,WELD,0.514
307,CO,YUMA,0.378
308,CT,FAIRFIELD,0.739
309,CT,HARTFORD,0.68
310,CT,LITCHFIELD,0.693
311,CT,MIDDLESEX,0.767
312,CT,NEW HAVEN,0.692
313,CT,NEW LONDON,0.699
314,CT,TOLLAND,0.609
315,CT,WINDHAM,0.567
316,DC,DISTRICT OF COLUMBIA,0.651
317,DE,KENT,0.473
318,DE,NEW CASTLE,0.624
319,DE,SUSSEX,0.617
320,FL,ALACHUA,0.594
321,FL,BAKER,0.32
322,FL,BAY,0.438
323,FL,BRADFORD,0.382
324,FL,BREVARD,0.578
325,FL,BROWARD,0.65
326,FL,CALHOUN,0.315
327,FL,CHARLOTTE,0.654
328,FL,CITRUS,0.521
329,FL,CLAY,0.435
330,FL,COLLIER,0.648
331,FL,COLUMBIA,0.36
332,FL,DESOTO,0.422
333,FL,DIXIE,0.336
334,FL,DUVAL,0.528
335,FL,ESCAMBIA,0.465
336,FL,FLAGLER,0.583
337,FL,FRANKLIN,0.412
338,FL,GADSDEN,0.511
339,FL,GILCHRIST,0.311
340,FL,GLADES,0.271
341,FL,GULF,0.452
342,FL,HAMILTON,0.313
343,FL,HARDEE,0.339
344,FL,HENDRY,0.405
345,FL,HERNANDO,0.478
346,FL,HIGHLANDS,0.505
347,FL,HILLSBOROUGH,0.553
348,FL,HOLMES,0.272
349,FL,INDIAN RIVER,0.648
350,FL,JACKSON,0.391
351,FL,JEFFERSON,0.586
352,FL,LAFAYETTE,0.329
353,FL,LAKE,0.598
354,FL,LEE,0.565
355,FL,LEON,0.513
356,FL,LEVY,0.409
357,FL,LIBERTY,0.312
358,FL,MADISON,0.4
359,FL,MANATEE,0.557
360,FL,MARION,0.501
361,FL,MARTIN,0.603
362,FL,MIAMI-DADE,0.774
363,FL,MONROE,0.724
364,FL,NASSAU,0.517
365,FL,OKALOOSA,0.49
366,FL,OKEECHOBEE,0.398
367,FL,ORANGE,0.612
368,FL,OSCEOLA,0.629
369,FL,PALM BEACH,0.602
370,FL,PASCO,0.519
371,FL,PINELLAS,0.588
372,FL,POLK,0.487
373,FL,PUTNAM,0.366
374,FL,ST. JOHNS,0.618
375,FL,ST. LUCIE,0.521
376,FL,SANTA ROSA,0.444
377,FL,SARASOTA,0.684
378,FL,SEMINOLE,0.54
379,FL,SUMTER,0.774
380,FL,SUWANNEE,0.327
381,FL,TAYLOR,0.348
382,FL,UNION,0.406
383,FL,VOLUSIA,0.542
384,FL,WAKULLA,0.418
385,FL,WALTON,0.422
386,FL,WASHINGTON,0.301
387,GA,APPLING,0.286
388,GA,ATKINSON,0.286
389,GA,BACON,0.249
390,GA,BAKER,0.384
391,GA,BALDWIN,0.377
392,GA,BANKS,0.251
393,GA,BARROW,0.338
394,GA,BARTOW,0.312
395,GA,BEN HILL,0.323
396,GA,BERRIEN,0.263
397,GA,BIBB,0.388
398,GA,BLECKLEY,0.29
399,GA,BRANTLEY,0.199
400,GA,BROOKS,0.372
401,GA,BRYAN,0.404
402,GA,BULLOCH,0.281
403,GA,BURKE,0.382
404,GA,BUTTS,0.276
405,GA,CALHOUN,0.4
406,GA,CAMDEN,0.314
407,GA,CANDLER,0.355
408,GA,CARROLL,0.31
409,GA,CATOOSA,0.331
410,GA,CHARLTON,0.173
411,GA,CHATHAM,0.467
412,GA,CHATTAHOOCHEE,0.175
413,GA,CHATTOOGA,0.314
414,GA,CHEROKEE,0.436
415,GA,CLARKE,0.42
416,GA,CLAY,0.562
417,GA,CLAYTON,0.36
418,GA,CLINCH,0.319
419,GA,COBB,0.523
420,GA,COFFEE,0.295
421,GA,COLQUITT,0.339
422,GA,COLUMBIA,0.388
423,GA,COOK,0.333
424,GA,COWETA,0.372
425,GA,CRAWFORD,0.32
426,GA,CRISP,0.373
427,GA,DADE,0.29
428,GA,DAWSON,0.335
429,GA,DECATUR,0.376
430,GA,DEKALB,0.5
431,GA,DODGE,0.294
432,GA,DOOLY,0.305
433,GA,DOUGHERTY,0.396
434,GA,DOUGLAS,0.392
435,GA,EARLY,0.397
436,GA,ECHOLS,0.253
437,GA,EFFINGHAM,0.311
438,GA,ELBERT,0.361
439,GA,EMANUEL,0.308
440,GA,EVANS,0.353
441,GA,FANNIN,0.36
442,GA,FAYETTE,0.561
443,GA,FLOYD,0.357
444,GA,FORSYTH,0.482
445,GA,FRANKLIN,0.309
446,GA,FULTON,0.516
447,GA,GILMER,0.373
448,GA,GLASCOCK,0.274
449,GA,GLYNN,0.432
450,GA,GORDON,0.317
451,GA,GRADY,0.341
452,GA,GREENE,0.482
453,GA,GWINNETT,0.496
454,GA,HABERSHAM,0.347
455,GA,HALL,0.388
456,GA,HANCOCK,0.42
457,GA,HARALSON,0.278
458,GA,HARRIS,0.385
459,GA,HART,0.33
460,GA,HEARD,0.232
461,GA,HENRY,0.379
462,GA,HOUSTON,0.371
463,GA,IRWIN,0.308
464,GA,JACKSON,0.353
465,GA,JASPER,0.29
466,GA,JEFF DAVIS,0.246
467,GA,JEFFERSON,0.44
468,GA,JENKINS,0.291
469,GA,JOHNSON,0.275
470,GA,JONES,0.359
471,GA,LAMAR,0.292
472,GA,LANIER,0.227
473,GA,LAURENS,0.356
474,GA,LEE,0.428
475,GA,LIBERTY,0.245
476,GA,LINCOLN,0.4
477,GA,LONG,0.163
478,GA,LOWNDES,0.304
479,GA,LUMPKIN,0.308
480,GA,MCDUFFIE,0.376
481,GA,MCINTOSH,0.339
482,GA,MACON,0.358
483,GA,MADISON,0.375
484,GA,MARION,0.346
485,GA,MERIWETHER,0.347
