county,num_hosp,num_not_hosp,num_infected,percent_hosp,percent_republican,state,date_stay_at_home_effective,lat,lon,total_population,population_density_per_sqmi,percent_adults_with_obesity,percent_physically_inactive,percent_uninsured,primary_care_physicians_rate,high_school_graduation_rate,percent_some_college,percent_unemployed_CDC,median_household_income,per_capita_income,num_deaths,percent_vaccinated,eightieth_percentile_income,twentieth_percentile_income,percent_food_insecure,percent_age_65_and_older,percent_age_17_and_younger
PENDER,163,1700,1863,0.0874932903918411,0.6325623094853864,NORTH CAROLINA,2020-03-30,34.5248168003333,-77.9051056974464,56358,64.6830130383363,30.6,25.7,13.716409725,27.88805,89.5,59.905862217,9.9,54900.0,24031.0,935.0,48.0,106958.0,21013.0,13.2,17.1,22.4
DOUGLAS,1160,8535,9695,0.1196493037648272,0.5470589176475608,COLORADO,2020-03-26,39.3297128089567,-104.929569115671,314238,373.975656475955,19.6,10.6,3.7801851723,70.0867,90.806988353,88.21398199,3.6,120670.0,47062.0,1763.0,54.0,194601.0,58227.0,7.3,9.9,28.3
TAYLOR,68,1073,1141,0.0595968448729184,0.6947490510333193,WISCONSIN,2020-03-25,45.2116012849998,-90.5012476472376,20521,21.0465179765742,32.9,29.4,8.3927693064,34.44712,92.452830189,51.341176471,4.5,56981.0,24907.0,205.0,22.0,89705.0,23815.0,9.2,18.1,23.9
PAYETTE,126,1928,2054,0.0613437195715676,0.7455193014705882,IDAHO,2020-03-25,44.0067523009666,-116.760846284579,22773,55.9675607926514,34.6,30.3,14.143245694,43.0756,86.809815951,57.111984283,8.2,51835.0,21700.0,313.0,37.0,96270.0,23059.0,11.8,17.0,26.9
RICHLAND,646,5771,6417,0.1006700950599968,0.6626942442134242,OHIO,2020-03-23,40.7746631411164,-82.536501911962,121888,246.108573966898,32.4,31.7,8.2895472944,53.9021,89.967897271,53.965641395,8.3,49668.0,22520.0,2092.0,43.0,89330.0,21618.0,15.0,18.0,21.8
CONTRA COSTA,6879,36441,43320,0.1587950138504155,0.248739207379203,CALIFORNIA,2020-03-19,37.9191670693643,-121.927939120675,1107925,1532.91656449364,24.0,16.2,5.8956173288,103.09916,87.897242055,71.497177436,7.7,101463.0,40792.0,9400.0,45.0,184303.0,38923.0,10.1,14.2,23.5
SCOTT,19,128,147,0.1292517006802721,0.6673991869025382,INDIANA,2020-03-24,38.6850829983169,-85.7474900816243,23734,124.65535672942,32.8,29.1,8.5803034932,41.89359,86.61971831,43.868498869,6.7,44913.0,23103.0,538.0,42.0,87352.0,20570.0,12.1,15.9,22.9
EMMET,74,1513,1587,0.0466288594833018,0.5646207850228699,MICHIGAN,2020-03-24,45.5203166829622,-84.890392039253,33091,70.7789826316674,27.3,19.4,7.7009708738,132.55807,93.820224719,73.185816383,7.5,58891.0,30250.0,421.0,49.0,100995.0,25183.0,12.1,19.7,20.6
HAMPDEN,1802,8166,9968,0.1807784911717496,0.3873875648025522,MASSACHUSETTS,2020-03-24,42.1351077325619,-72.6315886935239,468072,758.571907683091,31.2,25.7,3.6304772065,68.53718,85.254646981,60.540370993,8.8,52682.0,27057.0,5749.0,52.0,112222.0,20023.0,10.0,15.3,22.5
CARROLL,23,153,176,0.1306818181818181,0.7257896563693162,INDIANA,2020-03-24,40.5828501177823,-86.5635054557074,20007,53.7493288854529,37.2,30.9,10.203067751,14.97081,92.857142857,54.152969538,6.9,57092.0,25647.0,226.0,48.0,106658.0,26394.0,10.0,17.8,23.3
OLMSTED,624,748,1372,0.4548104956268221,0.445132224288335,MINNESOTA,2020-03-27,44.003763542694,-92.4017531012953,150104,229.623281123993,27.1,19.5,4.3789930609,227.19938,86.06,79.729504885,4.2,76001.0,36143.0,1171.0,60.0,137736.0,32814.0,8.2,14.0,24.8
CULLMAN,136,2372,2508,0.0542264752791068,0.8710426953238455,ALABAMA,2020-04-04,34.1319499964658,-86.8675825749094,81316,110.649445931361,36.9,36.7,12.658246768,55.58577,90.519877676,50.378489972,6.1,45796.0,21041.0,1501.0,41.0,86556.0,19514.0,11.8,17.8,22.5
BROWN,145,106,251,0.5776892430278885,0.6319761956600625,MINNESOTA,2020-03-27,44.2421456500946,-94.7276093533432,25327,41.4471077260589,32.7,23.9,4.3178973717,119.07597,85.31,73.279880664,2.7,60626.0,28444.0,240.0,48.0,99885.0,26598.0,8.0,20.0,21.7
GRANT,466,9396,9862,0.0472520786858649,0.6532844140266705,WASHINGTON,2020-03-23,47.2056718025332,-119.451782189757,92530,34.5326134634379,34.3,24.4,12.531071611,42.03535,78.760393046,46.415522238,9.1,53688.0,20409.0,1017.0,29.0,100013.0,25769.0,9.4,12.6,30.2
MAHONING,1071,7571,8642,0.1239296459152973,0.4659343715239155,OHIO,2020-03-23,41.014652662355,-80.7763088493353,233015,566.247468171842,31.3,31.5,6.7766369107,103.13495,90.192644483,61.959835378,8.9,48010.0,24651.0,3702.0,47.0,92420.0,18992.0,16.4,19.1,20.6
POLK,67,1065,1132,0.0591872791519434,0.6189866471556612,NORTH CAROLINA,2020-03-30,35.2793147145598,-82.1696294555468,20324,85.4748374486907,33.3,27.1,14.28370193,53.50715,92.0,62.992125984,7.8,50467.0,28175.0,313.0,44.0,91375.0,24394.0,11.2,27.5,17.4
LUNA,177,262,439,0.4031890660592255,0.4767649074708704,NEW MEXICO,2020-03-24,32.1822506569287,-107.749858890712,24627,8.30522427698617,32.5,27.1,12.909556779,37.37852,68.084426773,35.193466848,14.1,30570.0,15650.0,417.0,31.0,63917.0,10346.0,20.7,20.4,26.6
STEUBEN,38,186,224,0.1696428571428571,0.6388029141469453,NEW YORK,2020-03-22,42.2678177072339,-77.383789671644,98151,70.5831602987762,33.7,26.9,6.0887834105,60.24034,86.488673139,61.35035512,7.6,54862.0,26830.0,1302.0,51.0,97962.0,22328.0,11.6,17.5,22.3
WHITLEY,17,52,69,0.2463768115942029,0.7270050566472509,INDIANA,2020-03-24,41.1393882742932,-85.5051253700667,33354,99.3953089291471,36.6,26.3,8.566673902,56.28629,91.268191268,61.840120664,4.7,67758.0,27062.0,384.0,49.0,101673.0,29925.0,10.1,16.2,23.4
LICKING,358,4585,4943,0.0724256524377908,0.619144282935199,OHIO,2020-03-23,40.0916147070239,-82.4831055714415,169762,248.781192919266,32.1,25.9,6.9137847532,43.81717,92.024230187,66.112842663,6.6,66145.0,27934.0,2273.0,51.0,115207.0,26784.0,12.1,15.1,23.8
DEKALB,51,985,1036,0.0492277992277992,0.7434938892882819,TENNESSEE,2020-03-31,35.9798579073075,-85.8327712981643,19159,62.9489089622373,30.1,26.3,14.324188901,40.29821,95.408163265,38.083538084,7.0,47420.0,25273.0,412.0,52.0,91734.0,18925.0,12.9,17.5,22.3
BERKSHIRE,249,1474,1723,0.1445153801508996,0.2598490810610619,MASSACHUSETTS,2020-03-24,42.3707114440092,-73.2063490497822,128563,138.701091068115,25.7,19.9,3.3426123967,109.25241,87.57268623,64.02655201,8.2,58375.0,31417.0,1765.0,51.0,114130.0,23279.0,9.7,20.9,18.0
MACON,539,4040,4579,0.1177112906748198,0.5590095713691219,ILLINOIS,2020-03-21,39.8599892456465,-88.9616115985455,108404,186.682269353919,31.5,29.6,5.5362227143,83.17502,84.808781484,64.575601097,10.1,50684.0,27010.0,1585.0,46.0,98691.0,20566.0,14.0,17.8,22.4
CHEROKEE,33,451,484,0.0681818181818181,0.8341563402590143,ALABAMA,2020-04-04,34.1759260075593,-85.6038003875482,25897,46.7691504420992,35.0,31.3,11.172649917,38.67425,94.904458599,51.836210062,5.9,42132.0,22544.0,568.0,41.0,81932.0,17401.0,12.5,20.3,20.6
COWLITZ,344,6319,6663,0.0516283956175896,0.5293049111441828,WASHINGTON,2020-03-23,46.1932470083921,-122.681015241474,102854,90.1882830264699,34.7,22.7,6.6139451213,65.47563,80.814408771,58.713995943,9.7,58624.0,24756.0,1683.0,45.0,100714.0,22384.0,14.0,18.0,23.1
RUTHERFORD,295,3297,3592,0.0821269487750556,0.7216484640512093,NORTH CAROLINA,2020-03-30,35.4025671867211,-81.9198254989655,66701,117.973556642676,28.5,24.5,13.597860009,42.073,84.1,54.120498615,10.1,42831.0,19688.0,1224.0,49.0,77824.0,16850.0,15.6,19.5,21.3
LAWRENCE,203,2173,2376,0.0854377104377104,0.6239540647314308,PENNSYLVANIA,2020-04-01,40.9912551179768,-80.3342315082226,88528,247.170732675599,36.6,30.1,6.1191771175,40.198,93.520518359,62.222932651,6.5,48418.0,25614.0,1439.0,46.0,95793.0,19737.0,12.7,20.0,20.4
YELL,172,2057,2229,0.0771646478241363,0.7156390743904333,ARKANSAS,,35.0026095804533,-93.4112456580797,21716,23.3451085309239,37.7,35.3,12.00959397,55.75431,87.328767123,45.871197155,6.8,41729.0,18981.0,406.0,37.0,88194.0,20184.0,13.2,16.9,24.9
FANNIN,14,12,26,0.5384615384615384,0.81544192346766,GEORGIA,2020-04-03,34.8640923290592,-84.3198050756006,24017,62.0480577193283,26.3,29.6,18.261063925,43.44049,94.312796209,46.20376379,9.2,43439.0,22425.0,484.0,44.0,90192.0,19839.0,10.8,25.5,17.8
ST. LOUIS CITY,4,1,5,0.8,0.1587913805062847,MISSOURI,2020-04-06,38.6358357328971,-90.2451204003644,316030,5101.11090853329,34.4,26.3,12.535590372,88.13256,80.219146482,72.852729145,10.6,43263.0,25434.0,5708.0,41.0,89309.0,14868.0,23.3,11.4,20.2
TUSCOLA,278,2724,3002,0.0926049300466355,0.6629710032563189,MICHIGAN,2020-03-24,43.4646681759821,-83.4170401873873,54014,67.234337609483,30.6,29.6,5.9546925566,32.21894,85.666666667,55.389859395,8.4,51113.0,22511.0,828.0,41.0,87571.0,22100.0,12.5,18.3,21.5
KENDALL,690,3601,4291,0.1608016779305523,0.4670234063651842,ILLINOIS,2020-03-21,41.5905455437168,-88.4288413515238,121452,379.200573131497,31.4,22.0,5.2563618316,37.23716,95.267103935,72.79316522,5.3,93345.0,31920.0,835.0,53.0,146913.0,47749.0,5.5,8.8,29.8
OSCEOLA,83,939,1022,0.0812133072407045,0.6914883589405222,MICHIGAN,2020-03-24,43.9898591676155,-85.3252622082736,23172,40.9089332575502,40.3,20.1,8.0334867217,30.09458,86.363636364,48.687928946,8.8,45607.0,19853.0,335.0,34.0,79517.0,19042.0,14.0,18.8,23.5
SAN BENITO,269,3568,3837,0.0701068543132655,0.3576445904032111,CALIFORNIA,2020-03-19,36.605687738987,-121.074974577627,58051,41.8019713115616,32.3,28.2,8.1051770391,31.5039,90.246768508,57.779208239,10.8,80063.0,27848.0,477.0,47.0,146648.0,39418.0,5.6,11.2,27.1
STEPHENSON,148,1274,1422,0.1040787623066104,0.5448065673696112,ILLINOIS,2020-03-21,42.3517240384405,-89.6623698821319,46283,81.9822652965161,34.0,25.0,6.287029048,42.17162,81.769498681,66.619687771,8.5,47357.0,24529.0,605.0,47.0,91811.0,20676.0,12.8,20.6,21.7
FRANKLIN,98,1742,1840,0.0532608695652173,0.7029992684711046,TENNESSEE,2020-03-31,35.1550495653032,-86.0921965277462,41348,74.5701769073408,35.9,28.3,10.623071785,67.22366,93.160377358,51.945229298,8.5,50201.0,23797.0,730.0,52.0,92315.0,20127.0,11.8,18.9,20.8
PIKE,95,2161,2256,0.0421099290780141,0.8006081491992703,KENTUCKY,2020-03-26,37.4691109578835,-82.3957748160101,62791,79.8035798299827,38.7,37.9,6.9310108705,88.31072,96.52294854,49.788885862,10.2,37124.0,20128.0,1403.0,40.0,75981.0,12668.0,17.6,16.0,21.2
CARTER,272,3878,4150,0.0655421686746988,0.7419876982842344,OKLAHOMA,,34.2508518698697,-97.2858070151593,48530,59.0262657335397,38.6,37.1,17.773810721,53.9531,85.483231707,53.568782415,6.1,48660.0,24272.0,869.0,45.0,93183.0,21323.0,15.8,15.7,25.4
CLARK,515,7913,8428,0.0611058376839107,0.5731006527861433,OHIO,2020-03-23,39.9167844240318,-83.7839119912119,136175,342.595696077662,33.7,30.5,7.1571647234,45.33395,87.561881188,56.597769029,8.9,50089.0,23992.0,2649.0,47.0,91699.0,21501.0,14.9,17.8,22.9
ALBEMARLE,252,4218,4470,0.0563758389261744,0.3395092197581356,VIRGINIA,2020-03-30,38.0231228048462,-78.5555621826267,104287,144.681915489282,20.8,17.5,9.9552599758,149.48655,92.7,77.155322188,3.2,80392.0,38039.0,846.0,59.0,153457.0,33584.0,9.1,16.5,20.8
TOOELE,25,6992,7017,0.0035627761151489,0.511658802510422,UTAH,,40.4487640077828,-113.131111128842,61986,8.92918551791371,34.1,24.0,8.3632136483,19.27182,87.0,61.831320104,7.0,73584.0,22978.0,617.0,45.0,116595.0,35141.0,10.9,8.4,34.4
ST. CROIX,316,5488,5804,0.0544452101998621,0.5519070472341501,WISCONSIN,2020-03-25,45.0340808625443,-92.4528025689143,86726,120.039237475267,27.7,20.5,4.5736504675,55.24052,93.113207547,78.948077009,4.1,82575.0,34679.0,714.0,52.0,134908.0,39166.0,6.9,12.2,26.1
HENRICO,1113,13306,14419,0.0771898189888341,0.3657533576936708,VIRGINIA,2020-03-30,37.5380027723366,-77.4058263898611,321921,1377.48027986762,32.0,23.4,9.8930819657,105.21565,92.3,74.955118686,6.3,68581.0,34993.0,3561.0,56.0,131174.0,31320.0,11.9,13.8,23.5
YORK,954,16307,17261,0.0552691037599212,0.5837333962940616,SOUTH CAROLINA,,34.9747508487305,-81.1844147506338,245606,360.816214221449,32.3,24.3,11.050547937,43.91249,89.170846857,69.227819726,7.8,64904.0,28830.0,3216.0,52.0,122226.0,27363.0,10.6,13.0,24.7
QUEEN ANNE'S,134,2168,2302,0.0582102519548218,0.640689213135769,MARYLAND,2020-03-30,39.0680818087289,-76.0201911769658,48712,131.059204748605,29.2,23.3,5.4117295629,36.16637,97.5,66.235116235,4.3,93751.0,39593.0,562.0,54.0,157182.0,41666.0,6.2,17.3,22.3
HARDEE,167,2348,2515,0.0664015904572564,0.6912831333245417,FLORIDA,2020-04-03,27.4927008004759,-81.8099393529568,27302,42.8072271543766,38.5,35.3,20.037532254,10.94451,72.753623188,23.789504204,11.3,39169.0,17179.0,333.0,36.0,77817.0,16960.0,12.5,14.5,27.0
COOS,13,855,868,0.0149769585253456,0.5088628655532091,NEW HAMPSHIRE,2020-03-27,44.6895793551475,-71.3056356174222,32219,17.9536505388463,33.6,25.9,7.7905777937,113.80161,92.356687898,54.709475778,6.7,44259.0,25467.0,554.0,31.0,89269.0,21248.0,11.3,21.5,16.6
ASHE,40,1476,1516,0.0263852242744063,0.7011323003575686,NORTH CAROLINA,2020-03-30,36.4344805221016,-81.500511281784,26992,63.5015380029331,26.0,31.3,15.730169018,44.51534,86.8,59.764625618,7.6,41864.0,22343.0,404.0,52.0,80641.0,17853.0,13.0,22.9,18.5
ADAMS,149,1448,1597,0.0932999373825923,0.7623030196320099,OHIO,2020-03-23,38.845622989518,-83.472033758812,28111,48.1462474427659,32.2,36.6,9.0619045509,43.28068,92.222222222,41.304347826,9.9,42154.0,18901.0,561.0,41.0,83337.0,14832.0,17.2,16.4,24.5
HENRY,35,57,92,0.3804347826086957,0.4629528380211813,GEORGIA,2020-04-03,33.4530049056422,-84.1542034547153,214171,672.20273707659,36.0,26.5,12.797401217,47.38434,88.141202427,63.949696444,8.9,72970.0,25727.0,2608.0,42.0,116681.0,32172.0,13.7,10.3,27.1
PIMA,8701,50849,59550,0.146112510495382,0.3970875628498245,ARIZONA,2020-03-31,32.0974299148962,-111.789905718709,1003338,109.210301111758,25.0,19.8,10.86259278,84.37878,73.417255075,66.878790117,9.2,53395.0,26204.0,12658.0,47.0,101894.0,21344.0,13.6,17.8,21.9
WASHINGTON,352,5814,6166,0.0570872526759649,0.6884824120603015,TENNESSEE,2020-03-31,36.2933004536162,-82.4974385890011,126044,386.088902762691,31.0,25.6,11.226106034,172.13589,92.406015038,68.925150763,5.7,49242.0,26662.0,2108.0,49.0,93725.0,19685.0,12.9,16.9,19.7
MCMINN,146,2441,2587,0.0564360262852725,0.7833111170354572,TENNESSEE,2020-03-31,35.4247587176556,-84.6174738215867,52606,122.305085575,33.7,35.8,12.162097393,49.17072,94.477317554,46.650563607,8.6,46029.0,20472.0,1059.0,44.0,84817.0,16387.0,13.1,18.7,21.7
MONTGOMERY,4784,27634,32418,0.1475723363563452,0.4797077827805545,OHIO,2020-03-23,39.7545857382596,-84.2906838626858,532761,1154.27020488644,33.3,27.6,7.4709848127,93.50155,87.873321307,68.620134065,8.7,51071.0,26392.0,9281.0,49.0,99110.0,20386.0,17.0,16.6,22.4
LAUDERDALE,188,798,986,0.1906693711967545,0.6012675388056666,MISSISSIPPI,2020-04-03,32.4042834469653,-88.6625454015085,79233,112.602532227396,35.8,33.6,12.594726937,93.23091,81.738705739,64.316316523,9.0,40077.0,21575.0,1300.0,36.0,88600.0,16276.0,19.7,15.1,24.1
YATES,4,29,33,0.1212121212121212,0.5622888933041923,NEW YORK,2020-03-22,42.6334579334488,-77.1054705239338,25106,74.2467811908939,29.5,28.7,8.38794926,44.07934,78.504672897,50.88602497,7.2,51089.0,26001.0,305.0,52.0,105557.0,23364.0,9.9,18.2,22.9
ATLANTIC,3922,19856,23778,0.16494238371604,0.4492245781858796,NEW JERSEY,2020-03-21,39.4777467604974,-74.6609780340645,274026,493.212625143928,29.8,30.2,10.463773958,84.09962,90.064289889,59.283794163,11.8,60826.0,28575.0,3951.0,48.0,121660.0,24086.0,12.7,15.9,22.1
CLEBURNE,132,872,1004,0.1314741035856573,0.7826230864708316,ARKANSAS,,35.538106674756,-92.0267314995223,25587,46.2117580365208,36.6,34.3,9.1217696014,55.89269,92.045454545,45.816812054,8.5,44902.0,25078.0,487.0,44.0,82092.0,20905.0,14.9,25.4,19.7
LANE,804,9573,10377,0.0774790401850245,0.3497837978640271,OREGON,2020-03-23,43.9388149336805,-122.847500509755,360273,79.0817985979147,27.2,17.5,8.2108777017,87.52548,72.8,69.77209512,8.7,53161.0,25612.0,4606.0,49.0,96898.0,20720.0,14.6,17.3,19.1
SANTA CLARA,5950,85492,91442,0.065068568054067,0.2058038194765165,CALIFORNIA,2020-03-19,37.2317948046182,-121.695141328068,1885056,1459.91866582354,19.4,15.9,5.1015067133,103.75858,85.239238869,78.098698887,6.6,125933.0,46034.0,11662.0,47.0,225507.0,45198.0,8.9,12.2,23.1
TOLLAND,158,1554,1712,0.0922897196261682,0.4416460012399256,CONNECTICUT,2020-03-23,41.8550516252635,-72.3364967746125,151689,369.682148054244,24.9,19.1,3.7413953162,50.17793,91.42347561,75.37780588,6.3,89584.0,36364.0,1328.0,58.0,154462.0,36100.0,9.6,13.9,18.6
SALINE,580,6340,6920,0.0838150289017341,0.6883493282149712,ARKANSAS,,34.6465934833437,-92.6765186740944,115577,159.732328144126,30.2,27.2,7.5056325079,43.57919,93.089430894,67.562258412,4.7,63677.0,26963.0,1721.0,53.0,111036.0,30401.0,11.9,17.0,23.8
BENTON,34,599,633,0.0537124802527646,0.5946258306847731,IOWA,,42.0802051586318,-92.0657157979406,25720,35.9085222831713,35.6,25.2,5.0121608088,15.59941,91.570881226,69.778565102,3.8,62799.0,30888.0,313.0,32.0,113276.0,29482.0,9.5,16.8,24.6
PAULDING,17,17,34,0.5,0.6882724610879951,GEORGIA,2020-04-03,33.9205454671404,-84.8672836404407,149830,479.775845079474,34.0,27.1,12.848203261,15.67939,86.345200541,65.994096758,6.8,73309.0,25655.0,1615.0,46.0,117280.0,33521.0,9.9,9.4,28.0
SNOHOMISH,2533,37979,40512,0.0625246840442338,0.3748250154161783,WASHINGTON,2020-03-23,48.0474891806387,-121.697306548934,758649,363.586159263388,28.9,17.8,6.2076401725,52.5178,85.749792875,69.920410006,6.2,87096.0,33883.0,7592.0,49.0,145000.0,38313.0,10.3,12.1,23.2
BELKNAP,52,1789,1841,0.0282455187398153,0.5511485233271508,NEW HAMPSHIRE,2020-03-27,43.5179171323452,-71.4226612936377,60392,150.379770215684,28.6,22.9,7.6264920249,64.16057,88.150289017,66.032439177,5.1,64777.0,32501.0,883.0,49.0,123219.0,29667.0,8.7,19.6,19.2
WAGONER,626,4871,5497,0.1138802983445515,0.7349840255591055,OKLAHOMA,,35.9610979661564,-95.5211862020661,76190,135.676471146717,35.6,29.5,15.635874005,33.05491,87.826763485,63.412440669,6.2,62889.0,26159.0,1015.0,46.0,108572.0,28763.0,12.9,14.8,25.4
FLOYD,176,2496,2672,0.0658682634730539,0.7250906892382104,KENTUCKY,2020-03-26,37.5571288519708,-82.7457087268058,38144,96.9730412915615,41.3,36.9,6.4096007637,60.65452,96.457765668,48.67677998,11.2,33218.0,18345.0,978.0,33.0,67895.0,12576.0,19.1,15.8,22.0
BLADEN,224,2520,2744,0.0816326530612244,0.5378373277976977,NORTH CAROLINA,2020-03-30,34.6145942848114,-78.563641268015,34454,39.3826578321315,43.7,30.1,16.720442498,20.90925,89.5,50.419300735,9.0,36976.0,19510.0,668.0,30.0,69817.0,13784.0,19.3,18.4,21.8
LOGAN,190,2220,2410,0.0788381742738589,0.7397431737054379,OHIO,2020-03-23,40.3884683167814,-83.7658523774269,45388,99.0068057101925,40.5,27.1,7.0125887669,44.12576,96.494464945,49.713795077,5.9,61699.0,25877.0,753.0,47.0,101260.0,24055.0,12.4,16.5,24.1
JERSEY,30,134,164,0.1829268292682926,0.7049404057865526,ILLINOIS,2020-03-21,39.085685333792,-90.3566937286252,22441,60.7694845602227,33.8,35.4,5.0440630798,41.0191,84.5,66.976648068,7.9,59117.0,26346.0,350.0,40.0,110180.0,27359.0,9.2,17.6,21.4
HARFORD,124,1312,1436,0.0863509749303621,0.5824705248668383,MARYLAND,2020-03-30,39.5613125901311,-76.3171082410993,249776,571.436465202864,32.3,24.9,4.7453604822,56.71003,88.94,73.626658879,6.0,87959.0,36411.0,3028.0,53.0,154392.0,37043.0,7.6,14.5,23.0
SPALDING,119,73,192,0.6197916666666666,0.6086990351696234,GEORGIA,2020-04-03,33.2608845050658,-84.2841006062398,64006,326.756832741786,39.3,32.8,15.686050931,45.88559,85.386819484,45.036855037,10.2,43510.0,19899.0,1299.0,42.0,84570.0,18717.0,17.5,16.2,24.4
PAGE,114,1072,1186,0.0961214165261382,0.7291433891992551,VIRGINIA,2020-03-30,38.6199911154337,-78.4841323921985,23759,76.4397736575088,35.9,30.3,13.143041445,33.71118,99.6,44.298650896,8.6,49073.0,22683.0,405.0,30.0,90956.0,21417.0,11.7,20.1,20.3
SILVER BOW,115,3643,3758,0.0306013837147418,0.387551665451009,MONTANA,2020-03-28,45.902408116591,-112.656743647739,34560,48.1349450076061,25.2,22.5,9.5585286719,72.25016,85.71,62.026652593,7.0,47302.0,25583.0,547.0,46.0,89943.0,15447.0,13.5,17.1,19.9
SOLANO,1274,17286,18560,0.0686422413793103,0.3125583187348371,CALIFORNIA,2020-03-19,38.2699778962168,-121.932865211764,429596,522.767979288268,30.3,23.3,5.6540730841,81.04019,81.374853114,64.567282836,10.0,82808.0,30251.0,4789.0,38.0,142186.0,33514.0,12.6,13.6,23.0
ACCOMACK,212,2435,2647,0.0800906686815262,0.542609685168795,VIRGINIA,2020-03-30,37.7634363374246,-75.6303184341783,33060,73.5799036274692,36.3,36.1,16.649112857,49.1627,85.9,45.12724118,7.0,42879.0,23337.0,600.0,44.0,84337.0,20271.0,14.1,21.0,20.9
WAUPACA,248,2576,2824,0.0878186968838526,0.622079618813403,WISCONSIN,2020-03-25,44.4704982249666,-88.9647914000998,51974,69.5121668664051,36.8,22.4,6.7038410794,52.70864,88.904694168,56.010390541,4.5,58648.0,28145.0,744.0,50.0,102091.0,26019.0,9.1,19.5,21.3
LEE,44,64,108,0.4074074074074074,0.7527398713144312,GEORGIA,2020-04-03,31.7796174740911,-84.1410018697873,29134,81.8648900380186,44.0,23.6,12.776500436,67.86563,87.5,67.281387396,6.9,66090.0,28175.0,386.0,43.0,118091.0,32069.0,11.3,10.6,26.9
LAKE,831,9264,10095,0.0823179791976225,0.5527502021574936,OHIO,2020-03-23,41.6965682150186,-81.2373465825587,229266,999.994434034164,25.3,22.9,6.3207695605,44.32528,91.561353445,68.632270169,5.3,65883.0,31053.0,3101.0,51.0,114898.0,29885.0,11.2,17.9,21.0
ROANE,132,1926,2058,0.0641399416909621,0.7328441552448198,TENNESSEE,2020-03-31,35.8478654840397,-84.523244858219,52983,146.877497249102,34.1,23.9,10.77911883,35.82472,95.472440945,53.277370959,9.3,54440.0,23942.0,1147.0,53.0,98571.0,17793.0,12.0,21.3,19.5
TOMPKINS,12,135,147,0.0816326530612244,0.2430057640939125,NEW YORK,2020-03-22,42.4520353556339,-76.4736398340745,104268,219.674016902124,22.7,15.7,5.3467000835,83.96786,82.735426009,81.354493762,5.4,57383.0,28888.0,866.0,54.0,118351.0,21284.0,13.4,12.2,15.3
CHAVES,457,909,1366,0.3345534407027818,0.6349958068176212,NEW MEXICO,2020-03-24,33.3632838547696,-104.466915890226,65610,10.8173922642667,34.0,26.4,11.789553083,67.83215,66.753840993,52.021614749,7.1,43527.0,21015.0,1011.0,42.0,86480.0,17711.0,14.8,14.7,27.1
LAURENS,11,6,17,0.6470588235294118,0.635483870967742,GEORGIA,2020-04-03,32.463658102945,-82.9222368499216,47802,59.2120666106898,41.8,39.5,15.033620261,88.73864,85.463258786,48.756699763,5.9,42114.0,19826.0,882.0,43.0,79853.0,14091.0,19.6,16.3,24.8
MORRISON,260,128,388,0.6701030927835051,0.7337913023731123,MINNESOTA,2020-03-27,46.0126287348541,-94.268394499942,32850,29.1979027683911,32.4,25.0,5.6430594901,54.43987,89.25,62.706807703,4.5,57471.0,26442.0,365.0,38.0,98558.0,22886.0,10.1,17.5,23.6
GORDON,28,87,115,0.2434782608695652,0.8012553404715439,GEORGIA,2020-04-03,34.5033633157157,-84.8757060972067,56079,157.610307794734,29.6,33.1,21.387824783,45.54292,95.714285714,49.893316815,7.7,49101.0,20009.0,910.0,46.0,87077.0,20019.0,11.0,13.4,25.4
WHITLEY,181,3014,3195,0.0566510172143975,0.8212574415565558,KENTUCKY,2020-03-26,36.7581002878868,-84.1451855977266,35842,81.8627250007396,33.3,36.3,6.187150838,77.31816,94.967177243,54.688635813,9.8,36863.0,17520.0,899.0,35.0,76079.0,13604.0,16.4,14.8,24.2
WASATCH,55,4602,4657,0.0118101782263259,0.5045379537953796,UTAH,,40.3307847685627,-111.168164112262,27895,23.6999538805231,23.6,16.4,11.947523502,52.9496,92.0,75.593426659,3.7,85380.0,28818.0,194.0,48.0,138719.0,37183.0,11.2,9.4,32.8
LAKE,120,1610,1730,0.0693641618497109,0.5712768378726956,MONTANA,2020-03-28,47.6459160755545,-114.089373677172,29311,19.6657185922308,29.0,22.3,15.303577571,69.36874,88.89,61.72419381,8.8,44833.0,23191.0,426.0,38.0,91937.0,18711.0,13.6,19.6,24.5
MADISON,59,1200,1259,0.0468625893566322,0.6019167628006035,NORTH CAROLINA,2020-03-30,35.8580202231294,-82.7057734430354,21130,46.9957740349272,26.8,26.6,12.606611467,59.78111,86.6,61.793949651,7.2,44693.0,22278.0,364.0,43.0,86596.0,18800.0,13.1,19.9,18.4
MINIDOKA,102,1374,1476,0.0691056910569105,0.7112501819240286,IDAHO,2020-03-25,42.8542324054215,-113.637616973618,20331,26.8504174760402,34.0,29.8,17.483784258,28.94496,76.802507837,48.757131214,4.8,53447.0,22103.0,235.0,35.0,89242.0,21612.0,9.5,15.3,28.6
ADAMS,23,53,76,0.3026315789473684,0.7370511841100076,INDIANA,2020-03-24,40.7456352212811,-84.9366174320011,34813,102.684660053445,34.8,30.4,11.623896947,36.629,93.076923077,52.321428571,5.5,56693.0,21173.0,384.0,44.0,88993.0,23297.0,12.4,14.5,31.5
