county,num_hosp,num_not_hosp,num_infected,percent_hosp,percent_republican,state,date_stay_at_home_effective,lat,lon,total_population,population_density_per_sqmi,percent_adults_with_obesity,percent_physically_inactive,percent_uninsured,primary_care_physicians_rate,high_school_graduation_rate,percent_some_college,percent_unemployed_CDC,median_household_income,per_capita_income,num_deaths,percent_vaccinated,eightieth_percentile_income,twentieth_percentile_income,percent_food_insecure,percent_age_65_and_older,percent_age_17_and_younger
DOUGLAS,360,3327,3687,0.097640358014646,0.6461388987500234,OREGON,2020-03-23,43.2796951883479,-123.16647459024,107375,21.322934119118,31.4,22.5,7.7435884679,60.32631,66.04,57.959504276,10.9,47020.0,23608.0,1982.0,35.0,88631.0,20803.0,14.2,23.7,19.6
MCKEAN,130,1243,1373,0.0946831755280407,0.7139788905252823,PENNSYLVANIA,2020-04-01,41.8077175229565,-78.569024173675,42609,43.5142888572034,34.0,26.6,6.2896953986,53.2301,90.105263158,50.521730321,7.9,46529.0,24303.0,653.0,42.0,88100.0,20334.0,13.3,18.1,20.1
BROWN,54,360,414,0.1304347826086956,0.7432549599632784,OHIO,2020-03-23,38.9340406614159,-83.8674419003408,44059,89.9132158777101,34.0,34.7,7.5718678591,27.53809,93.598615917,53.138728888,8.0,55334.0,23776.0,856.0,49.0,93336.0,21936.0,14.2,16.8,23.3
SUMNER,127,1482,1609,0.0789310130515848,0.7183707056161284,KANSAS,2020-03-30,37.2373181308098,-97.4765503767397,23509,19.8955146567104,42.3,31.9,9.690293742,34.54381,92.8,67.008277493,6.0,56946.0,24764.0,340.0,45.0,100698.0,20196.0,12.3,17.2,25.1
MARATHON,767,12684,13451,0.0570217827670805,0.5612170035244192,WISCONSIN,2020-03-25,44.898304314291,-89.7590950958053,135367,87.6160503725936,33.5,24.6,6.4905998209,88.40951,93.574846206,69.183704842,4.8,63442.0,28773.0,1320.0,53.0,106841.0,27446.0,9.0,15.9,23.4
OKMULGEE,321,2697,3018,0.1063618290258449,0.641192917054986,OKLAHOMA,,35.646669531392,-95.9643479892066,39322,56.3879262366064,32.9,27.0,16.497370742,35.96198,82.429805616,54.451901566,10.5,42354.0,20721.0,835.0,47.0,83795.0,17837.0,18.2,17.0,24.2
ALAMANCE,1030,13364,14394,0.0715575934417118,0.5454839299014854,NORTH CAROLINA,2020-03-30,36.0437354060922,-79.3994547740471,156372,369.306711669068,32.4,26.2,14.14382019,46.18483,81.3,61.246310775,6.9,50480.0,23989.0,2298.0,52.0,95744.0,20379.0,14.4,16.0,22.8
LAWRENCE,43,1067,1110,0.0387387387387387,0.7328216374269005,INDIANA,2020-03-24,38.8411659072897,-86.4834565540062,45696,101.732411468924,32.2,30.6,8.52304122,39.41663,84.304932735,56.543560606,5.6,53187.0,23743.0,736.0,46.0,88723.0,22432.0,11.6,18.0,22.4
JACKSON,374,5984,6358,0.0588235294117647,0.5711066779568581,MICHIGAN,2020-03-24,42.2484950801815,-84.4234325639635,159483,227.291779552636,36.2,24.6,5.7216457147,45.38578,80.607627666,61.591559277,8.9,52047.0,24444.0,2396.0,51.0,97913.0,22171.0,13.0,15.9,22.2
MUSKOGEE,758,4901,5659,0.1339459268421982,0.6212008589362406,OKLAHOMA,,35.6161547429543,-95.3795963943393,69939,86.2966500268352,42.4,33.0,19.126635951,49.21402,82.66920877,49.93361427,7.6,43911.0,21109.0,1467.0,46.0,87915.0,16178.0,18.4,15.8,24.5
BARBOUR,68,626,694,0.0979827089337175,0.5209666634826631,ALABAMA,2020-04-04,31.8695888091185,-85.3932129145765,26614,30.0765381110855,41.7,23.5,12.242792457,31.65809,81.41025641,34.857648621,12.8,34382.0,17249.0,472.0,37.0,76557.0,13475.0,22.0,16.5,21.5
PUTNAM,21,152,173,0.1213872832369942,0.7228678219503908,INDIANA,2020-03-24,39.666288732608,-86.8450012152103,37626,78.2998847235066,30.5,29.0,8.2356879813,34.48093,91.442542787,49.434479607,6.5,54718.0,23040.0,461.0,45.0,95979.0,25882.0,11.7,15.1,19.3
GREEN,166,2474,2640,0.0628787878787878,0.4578878061627601,WISCONSIN,2020-03-25,42.67998752022,-89.6022163731146,37050,63.4371259194644,34.6,24.7,5.8403137881,56.98624,95.873786408,68.507253159,3.0,63160.0,28867.0,370.0,58.0,110932.0,28221.0,8.2,16.8,23.0
