state,county,infection_rate,percent_vac,percent_republican,date_stay_at_home_effective,lat,lon,total_population,population_density_per_sqmi,percent_adults_with_obesity,percent_physically_inactive,percent_uninsured,primary_care_physicians_rate,high_school_graduation_rate,percent_some_college,percent_unemployed_CDC,median_household_income,per_capita_income,num_deaths,eightieth_percentile_income,twentieth_percentile_income,percent_below_poverty,percent_age_65_and_older,percent_age_17_and_younger
ALABAMA,COOSA,0.113945418737691,0.363,0.6437547600913938,2020-04-04,32.9362495116424,-86.2476572937147,10864,16.690066897741,40.3,35.3,13.026201416,,82.716049383,42.868954113,12.6,42423.0,18080.0,217.0,79721.0,17978.0,15.3,18.7,18.3
ALABAMA,COVINGTON,0.1356581824070825,0.335,0.8323086574654956,2020-04-04,31.2484986581257,-86.4512771459695,37729,36.6138932625081,31.7,35.5,12.103617686,51.22398,94.902912621,53.610581506,10.7,40203.0,21738.0,780.0,84143.0,17115.0,19.0,20.2,22.0
ALABAMA,CRENSHAW,0.1280859715364507,0.314,0.720121270145205,2020-04-04,31.7315375353875,-86.3135790093729,13896,22.8237481117917,38.0,33.5,12.267525036,14.41857,89.08045977,44.907827138,7.4,39057.0,20455.0,290.0,82870.0,15094.0,18.2,17.5,22.9
ALABAMA,CULLMAN,0.129476649794671,0.334,0.8710426953238455,2020-04-04,34.1319499964658,-86.8675825749094,81316,110.649445931361,36.9,36.7,12.658246768,55.58577,90.519877676,50.378489972,6.1,45796.0,21041.0,1501.0,86556.0,19514.0,17.1,17.8,22.5
ALABAMA,DALE,0.1234645733344179,0.446,0.7364659448503921,2020-04-04,31.4318149499692,-85.6110090405247,49607,88.4061746916208,37.2,32.0,9.6988639182,18.28302,90.316205534,57.649513213,10.4,45309.0,22834.0,859.0,89227.0,17623.0,20.5,15.4,23.6
ALABAMA,DALLAS,0.1026992149693515,0.409,0.308056619838229,2020-04-04,32.325976007532,-87.1064720778568,41426,42.3278309732924,43.1,26.9,10.372407688,73.95129,86.193293886,50.673677292,14.9,34035.0,17611.0,918.0,73852.0,12189.0,34.3,15.7,25.2
ALABAMA,DEKALB,0.1363248640107393,0.284,0.8288159219391311,2020-04-04,34.4598061323521,-85.8041138637093,70937,91.2850000150476,29.2,31.7,17.319033941,41.8895,92.742927429,45.800442955,6.3,39491.0,18685.0,1302.0,78879.0,16455.0,19.8,15.5,24.7
ALABAMA,ELMORE,0.1386299548079646,0.403,0.7416532474503489,2020-04-04,32.5966528384219,-86.1491639423542,80957,130.895077801914,34.3,26.4,8.6557164469,25.71103,86.157253599,54.726881335,7.5,60367.0,24771.0,1229.0,108702.0,24801.0,14.3,13.9,22.9
ALABAMA,ESCAMBIA,0.1303742527229547,0.326,0.6692489053553385,2020-04-04,31.1261417372159,-87.1615837041193,37875,40.0759701355002,39.4,32.4,14.428344867,34.71573,87.792207792,37.530662306,15.2,38418.0,17420.0,822.0,73248.0,13274.0,25.2,16.7,22.3
ALABAMA,ETOWAH,0.1506727422067509,0.356,0.7325649850557014,2020-04-04,34.045265538097,-86.0347632602892,103363,193.099390530308,35.5,34.1,12.46599573,80.77466,90.272052762,55.234253305,8.5,44903.0,21287.0,2201.0,88317.0,18745.0,18.4,17.4,22.0
