,state,county,infection_rate,percent_vac
117,AR,FAULKNER,0.1258818954502527,0.44
118,AR,FRANKLIN,0.1111487440022579,0.418
119,AR,FULTON,0.111485132644065,0.281
120,AR,GARLAND,0.1294246674581933,0.422
121,AR,GRANT,0.1247194087051738,0.413
122,AR,GREENE,0.1591395477109762,0.376
123,AR,HEMPSTEAD,0.106910644621958,0.28
124,AR,HOT SPRING,0.187083592431376,0.383
125,AR,HOWARD,0.1403575215876382,0.411
126,AR,INDEPENDENCE,0.125102445472571,0.358
127,AR,IZARD,0.1487269792354538,0.339
128,AR,JACKSON,0.2079669836712722,0.337
129,AR,JEFFERSON,0.1605411229498383,0.393
130,AR,JOHNSON,0.1281887275190006,0.411
131,AR,LAFAYETTE,0.0963164251207729,0.325
132,AR,LAWRENCE,0.1447641106912105,0.391
133,AR,LEE,0.206842045839449,0.31
134,AR,LINCOLN,0.2643581081081081,0.3
135,AR,LITTLE RIVER,0.1164858471327188,0.257
136,AR,LOGAN,0.1220534799217367,0.406
137,AR,LONOKE,0.1288518462944522,0.427
138,AR,MADISON,0.1081684362934363,0.37
139,AR,MARION,0.0974601653288606,0.334
140,AR,MILLER,0.1138544050673879,0.124
141,AR,MISSISSIPPI,0.1550023369658803,0.342
142,AR,MONROE,0.1489329950753619,0.515
143,AR,MONTGOMERY,0.0951480080124638,0.334
144,AR,NEVADA,0.1199709161415414,0.361
145,AR,NEWTON,0.1242099832322971,0.31
146,AR,OUACHITA,0.121076041399367,0.473
147,AR,PERRY,0.1113342898134863,0.461
148,AR,PHILLIPS,0.1292880440895287,0.41
149,AR,PIKE,0.1134540026124276,0.385
150,AR,POINSETT,0.1557293437606256,0.388
151,AR,POLK,0.1117511520737327,0.309
152,AR,POPE,0.1423086527656386,0.432
153,AR,PRAIRIE,0.1293723641776234,0.397
154,AR,PULASKI,0.1259520656475577,0.518
155,AR,RANDOLPH,0.1332553736496269,0.355
156,AR,ST. FRANCIS,0.1591181883652076,0.425
157,AR,SALINE,0.1247172014995467,0.442
158,AR,SCOTT,0.107674350744091,0.375
159,AR,SEARCY,0.1296789747493973,0.359
160,AR,SEBASTIAN,0.1358554921886612,0.433
161,AR,SEVIER,0.1772211442347268,0.348
162,AR,SHARP,0.117245728700837,0.364
163,AR,STONE,0.1050695666080281,0.341
164,AR,UNION,0.1160746600486014,0.444
165,AR,VAN BUREN,0.1012994862496222,0.386
166,AR,WASHINGTON,0.1487162763862584,0.484
167,AR,WHITE,0.1307124807943824,0.407
168,AR,WOODRUFF,0.1215189873417721,0.517
169,AR,YELL,0.1740780656951408,0.393
170,AZ,APACHE,0.1649811509730549,0.755
171,AZ,COCHISE,0.099474277727482,0.558
172,AZ,COCONINO,0.1313808581226128,0.698
173,AZ,GILA,0.1384908734125662,0.539
174,AZ,GRAHAM,0.1477199577722275,0.522
175,AZ,GREENLEE,0.0664350389555696,0.365
176,AZ,LA PAZ,0.1231760469963994,0.442
177,AZ,MARICOPA,0.1330439063150023,0.509
178,AZ,MOHAVE,0.1230694548522252,0.391
179,AZ,NAVAJO,0.1579279506689264,0.605
180,AZ,PIMA,0.115786719680238,0.613
181,AZ,PINAL,0.1249597548774927,0.458
182,AZ,SANTA CRUZ,0.1778356058325089,0.814
183,AZ,YAVAPAI,0.0917485825120481,0.456
184,AZ,YUMA,0.1772839321380626,0.586
185,CA,ALAMEDA,0.0607486616937778,0.711
186,CA,ALPINE,0.0806023029229406,0.731
187,CA,AMADOR,0.1029382169450593,0.533
188,CA,BUTTE,0.0726734371720821,0.459
189,CA,CALAVERAS,0.0540246160548959,0.471
190,CA,COLUSA,0.1130551816958277,0.477
191,CA,CONTRA COSTA,0.0702532929470163,0.705
192,CA,DEL NORTE,0.0689989932403279,0.388
193,CA,EL DORADO,0.0652707124448385,0.551
194,CA,FRESNO,0.116861058091224,0.508
195,CA,GLENN,0.1104849786919311,0.445
196,CA,HUMBOLDT,0.0423951371368713,0.576
197,CA,IMPERIAL,0.1788097011836768,0.73
198,CA,INYO,0.0830422972448583,0.517
199,CA,KERN,0.1287599894245958,0.424
200,CA,KINGS,0.1661958938145678,0.355
201,CA,LAKE,0.0722051377628677,0.482
202,CA,LASSEN,0.1941255356033101,0.226
203,CA,LOS ANGELES,0.132477818993263,0.633
204,CA,MADERA,0.117328875526769,0.45
205,CA,MARIN,0.0596037492369391,0.798
206,CA,MARIPOSA,0.0341219554728826,0.449
207,CA,MENDOCINO,0.0568997913520617,0.605
208,CA,MERCED,0.1215823970037453,0.398
209,CA,MODOC,0.0652641103947517,0.37
210,CA,MONO,0.0936721129880919,0.621
211,CA,MONTEREY,0.1065403249773649,0.619
212,CA,NAPA,0.0778400511093042,0.725
213,CA,NEVADA,0.062412911633502,0.574
214,CA,ORANGE,0.0912991562154012,0.639
215,CA,PLACER,0.0712099796901556,0.576
216,CA,PLUMAS,0.0434944435582495,0.498
217,CA,RIVERSIDE,0.1309872392580425,0.505
218,CA,SACRAMENTO,0.078951946383447,0.567
219,CA,SAN BENITO,0.1030282766526557,0.598
220,CA,SAN BERNARDINO,0.1454635943093962,0.475
221,CA,SAN DIEGO,0.0967004460313989,0.751
222,CA,SAN FRANCISCO,0.0508865644450847,0.762
223,CA,SAN JOAQUIN,0.1091940148107716,0.484
224,CA,SAN LUIS OBISPO,0.0831440671680012,0.582
225,CA,SAN MATEO,0.0607287238136485,0.751
226,CA,SANTA BARBARA,0.0847549490592364,0.617
227,CA,SANTA CLARA,0.0656056585256544,0.759
228,CA,SANTA CRUZ,0.0655971714376695,0.672
229,CA,SHASTA,0.0855231008440693,0.399
230,CA,SIERRA,0.0292845257903494,0.495
231,CA,SISKIYOU,0.0615080732217092,0.433
232,CA,SOLANO,0.0833700069028221,0.591
233,CA,SONOMA,0.0692342859917141,0.699
234,CA,STANISLAUS,0.1229306650201576,0.492
235,CA,SUTTER,0.1095379030844273,0.5
236,CA,TEHAMA,0.092757052424559,0.345
237,CA,TRINITY,0.0369556369556369,0.439
238,CA,TULARE,0.1320649084610517,0.432
239,CA,TUOLUMNE,0.090476889753662,0.37
240,CA,VENTURA,0.1053408604667106,0.635
241,CA,YOLO,0.0725759637188208,0.62
242,CA,YUBA,0.093061982000305,0.382
243,CO,ADAMS,0.1245562124459579,0.571
244,CO,ALAMOSA,0.1127333210127518,0.487
245,CO,ARAPAHOE,0.1016798915609436,0.578
246,CO,ARCHULETA,0.083612516929218,0.525
247,CO,BACA,0.092990784697012,0.334
248,CO,BENT,0.2779272010041241,0.212
249,CO,BOULDER,0.0773492010938208,0.702
250,CO,BROOMFIELD,0.0750869225856808,0.711
251,CO,CHAFFEE,0.0913244252308901,0.582
252,CO,CHEYENNE,0.0731840524303659,0.26
253,CO,CLEAR CREEK,0.0538144329896907,0.441
254,CO,CONEJOS,0.0936014625228519,0.403
255,CO,COSTILLA,0.0666323642912271,0.509
256,CO,CROWLEY,0.3662761920475169,0.181
257,CO,CUSTER,0.0473559589581689,0.424
258,CO,DELTA,0.1013092869520569,0.424
259,CO,DENVER,0.1062786454000283,0.665
260,CO,DOLORES,0.0652068126520681,0.376
261,CO,DOUGLAS,0.0928851728871093,0.636
262,CO,EAGLE,0.1205398443593883,0.727
263,CO,ELBERT,0.0740020202776011,0.318
264,CO,EL PASO,0.1081172621435502,0.539
265,CO,FREMONT,0.1400949016492819,0.388
266,CO,GARFIELD,0.1091223922345615,0.551
267,CO,GILPIN,0.047733461476854,0.536
268,CO,GRAND,0.098639888140333,0.588
269,CO,GUNNISON,0.0829801855457565,0.629
270,CO,HINSDALE,0.0439024390243902,0.529
271,CO,HUERFANO,0.0669856459330143,0.475
272,CO,JACKSON,0.0495689655172413,0.375
273,CO,JEFFERSON,0.0874964186514914,0.694
274,CO,KIOWA,0.0689900426742532,0.328
275,CO,KIT CARSON,0.0955333239396928,0.325
276,CO,LAKE,0.1056970591854312,0.554
277,CO,LA PLATA,0.0781914231337044,0.646
278,CO,LARIMER,0.0823650388485257,0.605
279,CO,LAS ANIMAS,0.0901006480077209,0.529
280,CO,LINCOLN,0.1845290299947377,0.296
281,CO,LOGAN,0.1826498281940292,0.306
282,CO,MESA,0.1198690097918423,0.441
283,CO,MINERAL,0.130039011703511,0.691
284,CO,MOFFAT,0.0932018369344274,0.366
285,CO,MONTEZUMA,0.0839857923079861,0.574
286,CO,MONTROSE,0.0956546143411759,0.426
287,CO,MORGAN,0.0960850419705518,0.401
288,CO,OTERO,0.1154393259656417,0.403
289,CO,OURAY,0.0644184168012924,0.602
290,CO,PARK,0.0486601220482886,0.421
291,CO,PHILLIPS,0.0951934349355216,0.467
292,CO,PITKIN,0.1533179490065852,0.793
293,CO,PROWERS,0.1078705225106802,0.356
294,CO,PUEBLO,0.1195613451764594,0.481
295,CO,RIO BLANCO,0.1117963314358001,0.347
296,CO,RIO GRANDE,0.0860921274518505,0.542
297,CO,ROUTT,0.096263359076371,0.689
298,CO,SAGUACHE,0.0700468933177022,0.301
299,CO,SAN JUAN,0.0769230769230769,0.897
300,CO,SAN MIGUEL,0.1177405550800831,0.774
301,CO,SEDGWICK,0.1067615658362989,0.445
302,CO,SUMMIT,0.1309857792396246,0.788
303,CO,TELLER,0.0794075941389632,0.48
304,CO,WASHINGTON,0.0975957620211899,0.265
