,state,county,lat,lon,total_population,population_density_per_sqmi,percent_adults_with_obesity,percent_physically_inactive,percent_uninsured,primary_care_physicians_rate,high_school_graduation_rate,percent_some_college,percent_unemployed_CHR,percent_unemployed_CDC,median_household_income,per_capita_income,num_deaths,percent_vaccinated,eightieth_percentile_income,twentieth_percentile_income,percent_food_insecure,percent_age_65_and_older,percent_age_17_and_younger
1540,Missouri,Linn,39.8702115207535,-93.107205490491,12319,20.0125484967407,33.3,28.7,12.420548088,41.00377,96.644295302,52.486402486,4.6951100721,3.7,44992,20860,227,40,84233,20565,14.5,20.1,23.8
1541,Missouri,Livingston,39.7821255630769,-93.5482609111732,15057,28.2855508942495,42.3,27.6,12.188444109,79.08785,95.302013423,50.149925037,2.4933333333,4.3,48749,22804,206,48,84278,20086,14.1,19.6,21.5
1542,Missouri,McDonald,36.6286945500775,-94.3483458366232,22720,42.1146340712937,30,20.1,20.26250593,13.14176,91.901408451,33.41108918,3.0360711906,6,40204,18761,394,34,81698,20183,12.8,13.9,26.5
1543,Missouri,Macon,39.8307905136229,-92.5646212852136,15399,19.219745974887,34.5,29.3,12.072056689,32.78474,93.706293706,51.952141058,2.9369534003,8.5,45440,19941,235,40,75306,21245,13.8,21.2,23.9
1544,Missouri,Madison,37.4780894593029,-90.3450211485396,12403,25.0875091420346,35.4,28.7,12.654478603,40.83966,90.25974026,58.216604031,3.5505124451,6.1,40191,19009,248,38,80410,17910,14.6,18.9,23.2
1545,Missouri,Maries,38.1616368120226,-91.9248612672547,8987,17.0538175885091,35.7,35.5,15.103866128,11.27777,89.898989899,53.703703704,3.3040784719,9.2,46371,20922,144,44,87149,20936,14.1,19.5,21.4
1546,Missouri,Marion,39.8059496113133,-91.6224379185843,28858,66.0481551001516,36,28.2,10.030462231,90.80115,91.338582677,60.537650379,3.0934256055,6,49393,22303,412,23,86176,19698,15.1,17.1,23.7
1547,Missouri,Mercer,40.4223438102136,-93.568552547718,3702,8.15714969920246,24.1,26.3,15.510630882,27.18869,95.238095238,52.698863636,3.1413612565,4.6,46014,20701,NA,32,88975,20011,13.5,20.6,25
1548,Missouri,Miller,38.2145122934229,-92.4283904935305,25011,42.2059294952833,38.9,26,13.21575021,27.74695,93.817204301,55.327725202,3.6575297226,6.8,47225,22397,385,45,82090,19743,13.6,17.8,23.6
1549,Missouri,Mississippi,36.828095532788,-89.2911523291576,14112,34.2871336739084,38.2,36.6,13.423249839,14.72104,96.694214876,36.536890825,3.823479872,10.8,34735,17049,297,29,71702,14425,21.7,16.5,22.5
1550,Missouri,Moniteau,38.6327642423997,-92.5830988188851,15840,38.1663462577225,42.2,29.5,15.475223396,12.45097,91.666666667,45.630130372,2.9904471826,4.6,57047,21068,168,51,96510,24526,11.5,15,25.4
1551,Missouri,Monroe,39.4954620270168,-92.0007361276684,8642,13.34356391215,30.8,31.2,12.692132096,34.83511,93.548387097,47.567258157,3.5606060606,5.7,46216,21069,129,37,83330,22361,13.1,20.7,22.4
1552,Missouri,Montgomery,38.9414781982532,-91.4702372736026,11820,22.091526862459,27.4,28.4,12.999322952,17.48557,88.775510204,50.792393027,2.8807307219,7.4,48951,21301,239,33,79703,20429,13.2,19.9,23
1553,Missouri,Morgan,38.4237279245842,-92.8859963280423,20182,33.7700701561171,35.1,24.7,19.267029611,19.85604,100,38.193911486,4.2668344871,9.5,45276,19555,419,39,76559,15582,16.2,23.5,22
1554,Missouri,New Madrid,36.5945938227478,-89.6517514063099,18229,27.0123198548329,35.8,38.6,13.479848235,5.68764,93.75,47.503671072,4.7725577927,11.5,38093,19011,405,33,77277,14771,19.7,17.5,23.4
1555,Missouri,Newton,36.9055123531584,-94.3392632585661,58741,94.0227140004217,29,27.8,15.890428399,60.50183,86.971830986,55.693765734,3.0148354877,5.9,49220,23874,927,40,93006,24120,12,17.4,24.2
1556,Missouri,Nodaway,40.3607600799125,-94.8834415252601,23026,26.2565017386697,35.1,25.2,11.130775551,53.39979,96.026490066,62.263339071,2.9295774648,5.4,46698,19378,200,31,86481,17278,16.5,14.1,16.7
1557,Missouri,Oregon,36.6866722022403,-91.4033806175882,10922,13.8289013356573,30.6,34.6,14.681197545,NA,95.652173913,48.421563866,3.4552845528,5.5,32720,18080,205,26,62261,12988,15.8,23,22.4
1558,Missouri,Osage,38.460365703222,-91.8618421598339,13704,22.5924970021854,29.2,32.8,9.8743105163,14.63915,94.736842105,61.084220716,2.4156660949,3,58855,24097,156,60,95750,28550,9.6,16.6,23.5
1559,Missouri,Ozark,36.6493223689739,-92.4446891056198,9450,12.6850542837065,24.1,29.9,16.666666667,21.77226,96.49122807,54.933008526,5.1719156313,9.6,34367,16706,175,37,66045,13742,17.1,25.9,19.2
1560,Missouri,Pemiscot,36.2113859842277,-89.7854040804197,17599,35.7325376520798,36.3,41.5,11.73513986,23.77273,95.967741935,44.515633009,5.5441801859,11.1,31831,17681,408,29,71600,13991,23.2,15.6,26.6
1561,Missouri,Perry,37.7071752271524,-89.8244257742529,19152,40.3747956308328,37.4,27,8.5685227562,46.81404,87.330316742,56.478999106,2.3395261968,4.3,53871,24658,265,40,93154,24925,10,16.6,24.4
1562,Missouri,Pettis,38.7282988429658,-93.2851046053357,42193,61.846365510394,37,28.1,14.280380274,51.69416,95.670103093,52.670795433,4.1368990153,6.5,45254,20643,638,47,84271,20933,13.6,15.3,25
1563,Missouri,Phelps,37.8771736539156,-91.7923437139005,44833,66.7378018020688,35.1,28.2,13.878697546,96.10227,89.375,66.21527432,3.0820872749,6.2,43079,22400,649,38,93908,16159,15.6,14.9,21.2
1564,Missouri,Pike,39.3438372563553,-91.1713786354292,18475,27.5565904353412,37.2,29.6,11.871075131,32.3154,93.670886076,43.357972545,3.6095908262,5.6,43591,19900,283,31,86734,22908,13.6,16.4,21.9
1565,Missouri,Platte,39.3804714499931,-94.7736606005522,94970,226.013666387836,30,23.5,6.6428653691,81.03808,93.053311793,80.172575502,2.5634816301,4.6,82567,36160,938,54,137140,35252,10.8,12.9,24
1566,Missouri,Polk,37.616506405608,-93.4005396978605,31113,48.9562825890776,38.2,26.4,13.496013921,78.63119,92.042440318,57.945707997,3.6499406797,8.9,45336,20553,452,27,83751,21639,13.4,17.1,23.7
1567,Missouri,Pulaski,37.8245876751003,-92.2076450841196,53302,97.4262783183716,32.4,21.9,11.421712457,40.33885,92.8,74.828042328,3.5955977852,10.8,52532,20464,561,20,92042,25046,14.9,7.5,22.8
1568,Missouri,Putnam,40.4789203837441,-93.0161741485142,4877,9.42749945311411,28.9,30.7,14.032168608,62.3571,96.226415094,55.733944954,3.4426229508,2.7,40866,20636,91,42,73569,18780,13.8,23.1,21.8
1569,Missouri,Ralls,39.527684044047,-91.5220366139346,10225,21.7654640415408,30.3,23.4,10.647803425,19.56182,94.285714286,48.706099815,2.8123887504,6.6,57549,24099,135,34,94210,25556,11.5,19.3,21.7
1570,Missouri,Randolph,39.4401402776446,-92.4970892785491,25081,51.9585578168069,40.4,32.8,11.618481491,44.09701,92.217898833,55.781273866,3.8412791265,7.5,44975,18615,420,41,86426,18443,14.2,15.6,22.5
1571,Missouri,Ray,39.3523989138694,-93.9899216783063,22921,40.2967175156404,35.1,33.3,11.274509804,35.00328,94.736842105,49.018082831,3.593410572,8,58693,24429,388,46,106543,25348,12.9,16.9,23.6
1572,Missouri,Reynolds,37.3623511866667,-90.9691055150393,6530,8.07691287307042,31.6,31.1,14.868866328,47.80876,100,44.404846757,3.0931227377,8.8,36592,20792,123,33,77390,18307,13.5,22.8,21.1
