,state,county,num_hosp,num_not_hosp,num_infected,percent_hosp
491,IN,MONTGOMERY,52,500,552,0.09420289855072464
492,NC,UNION,800,11845,12645,0.06326611308817714
493,GA,TATTNALL,26,35,61,0.4262295081967213
494,OH,CLERMONT,855,10162,11017,0.07760733411999637
495,NC,WATAUGA,63,3198,3261,0.019319227230910764
496,TX,HARRIS,1,11,12,0.08333333333333333
497,SC,JASPER,140,1277,1417,0.09880028228652082
498,OH,ROSS,565,3040,3605,0.15672676837725383
499,PA,CLINTON,91,795,886,0.10270880361173815
500,NY,ONONDAGA,240,1272,1512,0.15873015873015872
501,NV,WASHOE,2337,34841,37178,0.06285975576954113
502,OR,UNION,69,1196,1265,0.05454545454545454
503,TN,MARION,92,1042,1134,0.08112874779541446
504,AR,MILLER,144,1595,1739,0.08280621046578493
505,VA,GOOCHLAND,55,758,813,0.06765067650676507
506,TN,ANDERSON,186,2805,2991,0.062186559679037114
507,OR,LINN,218,4000,4218,0.051683262209578
508,MA,PLYMOUTH,1486,8615,10101,0.1471141471141471
509,FL,SEMINOLE,885,10135,11020,0.08030852994555354
510,KY,KNOX,91,3460,3551,0.025626584060827937
511,KS,BUTLER,323,4503,4826,0.06692913385826772
512,OH,DELAWARE,329,5354,5683,0.05789195847263769
513,TN,HENRY,73,1126,1199,0.060884070058381985
514,CA,NA,443,4048,4491,0.09864172790024493
515,FL,NA,910,15039,15949,0.05705686876920183
516,WI,NA,2354,24585,26939,0.08738260514495713
517,UT,WEBER,264,29719,29983,0.008804989494046626
518,ID,BONNEVILLE,763,10008,10771,0.0708383622690558
519,ID,JEFFERSON,172,2066,2238,0.07685433422698838
520,KY,GRAVES,246,3219,3465,0.070995670995671
521,IN,WABASH,16,111,127,0.12598425196850394
522,NC,CARTERET,85,2225,2310,0.0367965367965368
523,CO,WELD,2303,12634,14937,0.15418089308428734
524,IN,DUBOIS,42,148,190,0.22105263157894736
525,MN,BLUE EARTH,299,285,584,0.511986301369863
526,MN,GOODHUE,213,223,436,0.48853211009174313
527,SD,PENNINGTON,1,2,3,0.3333333333333333
528,HI,HONOLULU,0,1,1,0.0
529,NJ,SALEM,698,4397,5095,0.13699705593719333
530,NH,ROCKINGHAM,326,10996,11322,0.028793499381734675
531,OR,BENTON,64,2517,2581,0.02479659046881054
532,NC,ORANGE,297,6603,6900,0.043043478260869565
533,FL,OKALOOSA,484,10142,10626,0.045548654244306416
534,KS,WYANDOTTE,1343,14278,15621,0.08597400934639268
535,IL,MONTGOMERY,129,2202,2331,0.055341055341055344
536,VA,POWHATAN,64,918,982,0.06517311608961303
537,MD,CARROLL,485,1073,1558,0.31129653401797175
538,TX,HIDALGO,2,4,6,0.3333333333333333
539,NY,NA,197,468,665,0.2962406015037594
540,WI,CALUMET,275,3032,3307,0.08315693982461446
541,CA,MENDOCINO,330,3412,3742,0.08818813468733298
542,NC,MACON,116,2168,2284,0.050788091068301226
543,AK,ANCHORAGE,845,2514,3359,0.2515629651682048
544,GA,MITCHELL,50,61,111,0.45045045045045046
545,NY,SCHOHARIE,9,34,43,0.20930232558139536
546,GA,CATOOSA,4,13,17,0.23529411764705882
547,NY,MONROE,131,88,219,0.5981735159817352
548,WA,FRANKLIN,599,12304,12903,0.04642331240796714
549,KY,MEADE,97,1672,1769,0.054833239118145846
550,WI,JEFFERSON,427,5252,5679,0.07518929388976933
551,GA,MERIWETHER,7,55,62,0.11290322580645161
552,GA,BIBB,340,367,707,0.4809052333804809
553,MD,FREDERICK,47,281,328,0.14329268292682926
554,IL,ST. CLAIR,1163,7824,8987,0.12940914654500946
555,OR,COLUMBIA,100,1197,1297,0.07710100231303008
556,OK,COMANCHE,899,9888,10787,0.08334105868174654
557,NJ,SOMERSET,3054,14922,17976,0.16989319092122832
558,OH,SENECA,352,3574,3926,0.08965868568517575
559,OK,PITTSBURG,209,2681,2890,0.07231833910034602
560,NC,BEAUFORT,235,3490,3725,0.06308724832214765
561,GA,WASHINGTON,12,11,23,0.5217391304347826
562,VA,LEE,110,1444,1554,0.07078507078507079
563,PA,ADAMS,232,1838,2070,0.11207729468599034
564,MI,ALLEGAN,271,6242,6513,0.04160908951328113
565,AL,AUTAUGA,163,2055,2218,0.07348963029756538
566,IL,WOODFORD,110,123,233,0.4721030042918455
567,FL,LAKE,1237,9288,10525,0.11752969121140143
568,AR,LONOKE,425,3530,3955,0.10745891276864729
569,KY,LETCHER,93,1103,1196,0.07775919732441472
570,IA,SCOTT,313,5142,5455,0.05737855178735105
571,AL,JACKSON,81,1852,1933,0.04190377651319193
572,IN,DEARBORN,36,47,83,0.43373493975903615
573,IL,SANGAMON,992,3687,4679,0.21201111348578755
574,IN,CASS,41,53,94,0.43617021276595747
575,TX,GALVESTON,0,4,4,0.0
576,MS,NA,3170,19998,23168,0.13682665745856354
577,AR,CRAIGHEAD,952,8021,8973,0.1060960659757049
578,CA,MARIN,425,7034,7459,0.05697814720471913
579,OR,KLAMATH,290,2923,3213,0.0902583255524432
580,TN,GRAINGER,59,836,895,0.0659217877094972
581,FL,ST. LUCIE,1350,17072,18422,0.07328194549994571
582,TN,MONTGOMERY,297,5958,6255,0.04748201438848921
583,LA,EAST BATON ROUGE,84,438,522,0.16091954022988506
584,NJ,MERCER,5284,19495,24779,0.2132450865652367
585,MI,CASS,100,1603,1703,0.058719906048150326
586,KY,MADISON,337,6168,6505,0.05180630284396618
587,VA,FRANKLIN,194,2428,2622,0.07398932112890923
588,SC,OCONEE,294,5245,5539,0.053078172955407114
589,MN,ANOKA,2367,1171,3538,0.6690220463538722
590,MN,HUBBARD,112,103,215,0.5209302325581395
591,MN,DOUGLAS,196,67,263,0.7452471482889734
592,TN,SMITH,48,1009,1057,0.04541154210028382
593,PA,BEAVER,729,4607,5336,0.1366191904047976
594,NC,ROBESON,677,9526,10203,0.06635303342154268
595,MI,ROSCOMMON,94,957,1051,0.08943862987630828
596,CA,VENTURA,3660,21599,25259,0.14489884793538937
597,GA,DAWSON,40,69,109,0.3669724770642202
598,NH,GRAFTON,31,2173,2204,0.014065335753176044
599,AR,CONWAY,123,1235,1358,0.09057437407952872
600,CA,YUBA,339,3385,3724,0.091031149301826
601,FL,FLAGLER,344,4061,4405,0.07809307604994324
602,NM,TAOS,120,196,316,0.379746835443038
603,MN,CHISAGO,322,136,458,0.7030567685589519
604,OH,LUCAS,2738,20780,23518,0.11642146441023897
605,KS,RENO,480,4401,4881,0.09834050399508297
606,KY,LAUREL,384,6193,6577,0.05838528204348487
607,OK,TULSA,5269,32385,37654,0.13993201253518883
608,NC,WAYNE,542,6322,6864,0.07896270396270397
609,TN,TIPTON,151,2739,2890,0.05224913494809689
610,TX,DENTON,0,3,3,0.0
611,SC,NA,767,6051,6818,0.11249633323555294
612,FL,COLUMBIA,344,5746,6090,0.05648604269293925
613,NY,MADISON,33,245,278,0.11870503597122302
614,OK,BRYAN,359,3932,4291,0.08366348170589606
615,FL,MIAMI-DADE,10270,192960,203230,0.05053387787236136
616,CA,YOLO,677,10322,10999,0.061551050095463224
617,OK,OSAGE,298,2695,2993,0.09956565319077848
618,AR,COLUMBIA,96,835,931,0.10311493018259936
619,AK,KENAI PENINSULA,103,352,455,0.22637362637362637
620,CO,GARFIELD,273,2485,2758,0.09898477157360407
621,KY,BOYD,115,3349,3464,0.033198614318706694
622,GA,HART,4,21,25,0.16
623,CO,MONTEZUMA,164,399,563,0.2912966252220249
624,VA,TAZEWELL,180,2157,2337,0.07702182284980745
625,MO,BUCHANAN,0,1,1,0.0
626,CA,SHASTA,629,8383,9012,0.06979582778517532
627,VA,MONTGOMERY,188,6595,6783,0.027716349697773847
628,KY,MARSHALL,94,1780,1874,0.05016008537886873
629,WV,KANAWHA,6,13,19,0.3157894736842105
630,TN,NA,1376,20560,21936,0.06272793581327499
631,UT,SEVIER,7,2232,2239,0.0031263957123715946
632,IL,LOGAN,167,3318,3485,0.04791965566714491
633,FL,BREVARD,1794,11516,13310,0.13478587528174304
634,TN,BEDFORD,110,2208,2318,0.04745470232959448
635,NC,CASWELL,105,1360,1465,0.07167235494880546
636,IN,HOWARD,170,286,456,0.37280701754385964
637,ID,KOOTENAI,1028,205,1233,0.8337388483373885
638,TN,DICKSON,114,2097,2211,0.051560379918588875
639,GA,COLQUITT,29,43,72,0.4027777777777778
640,SC,MARLBORO,231,2348,2579,0.0895696006203955
641,MI,OAKLAND,2837,13021,15858,0.17890023962668686
642,TN,HARDIN,61,1495,1556,0.03920308483290488
643,MD,HOWARD,196,922,1118,0.17531305903398928
644,OK,WASHINGTON,384,3095,3479,0.11037654498419086
645,GA,RICHMOND,132,269,401,0.32917705735660846
646,CA,NEVADA,201,2831,3032,0.06629287598944592
647,TN,SCOTT,60,831,891,0.06734006734006734
648,SC,BARNWELL,109,1341,1450,0.07517241379310345
649,MN,NOBLES,215,411,626,0.34345047923322686
650,MN,WRIGHT,680,368,1048,0.648854961832061
651,NM,SAN JUAN,1710,2941,4651,0.367662868200387
652,GA,GWINNETT,837,965,1802,0.46448390677025525
653,FL,PASCO,2252,21357,23609,0.09538735228090982
654,IL,WHITESIDE,227,4157,4384,0.051779197080291973
655,PA,BRADFORD,247,1755,2002,0.12337662337662338
656,MI,DELTA,157,2215,2372,0.06618887015177066
657,FL,INDIAN RIVER,590,6385,6975,0.08458781362007169
658,NY,CAYUGA,19,117,136,0.13970588235294118
659,AR,BENTON,779,14693,15472,0.050349017580144775
660,MN,MCLEOD,230,61,291,0.7903780068728522
661,NY,WESTCHESTER,4113,5827,9940,0.41378269617706237
662,NY,RICHMOND,6687,1564,8251,0.8104472185189674
663,MO,JASPER,0,1,1,0.0
664,TX,BRAZOS,1,1,2,0.5
665,KS,BARTON,130,1857,1987,0.06542526421741318
666,MI,CHIPPEWA,115,1609,1724,0.06670533642691415
667,KY,WAYNE,53,1331,1384,0.03829479768786127
668,WI,MANITOWOC,394,4502,4896,0.08047385620915033
669,MN,ISANTI,262,87,349,0.7507163323782235
670,AR,ST. FRANCIS,188,1500,1688,0.11137440758293839
671,TN,SEVIER,252,4148,4400,0.057272727272727274
672,OK,JACKSON,217,2068,2285,0.0949671772428884
673,KY,PULASKI,166,4098,4264,0.038930581613508444
674,IL,KANE,4055,21262,25317,0.16016905636528814
675,SC,CLARENDON,258,2047,2305,0.11193058568329718
676,OH,GREENE,792,7636,8428,0.09397247271001424
677,CA,SAN FRANCISCO,1723,24310,26033,0.06618522644336035
678,CO,DELTA,181,1602,1783,0.10151430173864273
679,IA,MAHASKA,63,784,847,0.0743801652892562
680,KY,FAYETTE,1258,12852,14110,0.0891566265060241
681,NH,SULLIVAN,24,913,937,0.025613660618996798
682,TN,OVERTON,52,1183,1235,0.042105263157894736
683,MN,LYON,111,81,192,0.578125
684,IL,EFFINGHAM,95,404,499,0.1903807615230461
685,OH,AUGLAIZE,309,3391,3700,0.08351351351351351
686,PA,CRAWFORD,434,2492,2926,0.14832535885167464
687,MI,CLARE,100,1228,1328,0.07530120481927711
688,OH,MIAMI,592,2651,3243,0.18254702436016035
689,IL,NA,2216,18864,21080,0.10512333965844402
690,NM,SANDOVAL,928,2026,2954,0.3141503046716317
691,GA,BUTTS,35,23,58,0.603448275862069
692,TN,BLOUNT,313,4934,5247,0.05965313512483324
693,OK,PONTOTOC,323,3728,4051,0.07973339916070106
694,GA,WORTH,55,79,134,0.41044776119402987
695,WI,SAUK,262,3331,3593,0.0729195658224325
696,SC,NEWBERRY,177,2780,2957,0.05985796415285763
697,NY,KINGS,35402,6920,42322,0.8364916591843485
698,KY,TAYLOR,79,2681,2760,0.0286231884057971
699,AR,INDEPENDENCE,246,1617,1863,0.1320450885668277
700,MI,BRANCH,204,3672,3876,0.05263157894736842
701,ID,NEZ PERCE,75,2158,2233,0.03358710255261979
702,GA,SUMTER,28,20,48,0.5833333333333334
703,MO,JACKSON,1,1,2,0.5
704,NE,NA,5,27,32,0.15625
705,ME,KNOX,32,970,1002,0.031936127744510975
706,MT,MISSOULA,291,2336,2627,0.11077274457556148
707,ND,WILLIAMS,58,978,1036,0.055984555984555984
708,VA,PRINCE EDWARD,102,1159,1261,0.08088818398096749
709,AL,TALLAPOOSA,157,1292,1449,0.10835058661145618
710,CA,COLUSA,90,1634,1724,0.052204176334106726
711,KY,LOGAN,82,1347,1429,0.05738278516445067
712,KY,BOYLE,130,2362,2492,0.0521669341894061
713,NC,STANLY,259,3071,3330,0.07777777777777778
714,NC,ALEXANDER,187,1867,2054,0.09104186952288218
715,GA,WAYNE,70,88,158,0.4430379746835443
716,NY,SARATOGA,149,286,435,0.3425287356321839
717,VA,ALEXANDRIA CITY,560,9476,10036,0.05579912315663611
718,ID,BLAINE,179,1697,1876,0.09541577825159915
719,MI,MECOSTA,83,1678,1761,0.04713231118682567
720,IA,MARSHALL,78,1546,1624,0.0480295566502463
721,PA,LANCASTER,3425,11608,15033,0.2278321027073771
722,MN,ITASCA,319,463,782,0.4079283887468031
723,NY,CORTLAND,3,34,37,0.08108108108108109
724,AR,GREENE,339,3239,3578,0.09474566797093348
725,ME,FRANKLIN,26,1092,1118,0.023255813953488372
726,OR,UMATILLA,310,5921,6231,0.04975124378109453
727,OH,CUYAHOGA,7176,52022,59198,0.12122031149701003
728,OK,MAYES,296,2579,2875,0.10295652173913043
729,NM,LEA,382,1002,1384,0.27601156069364163
730,OH,MARION,411,3299,3710,0.11078167115902965
731,SC,SUMTER,513,6701,7214,0.07111172719711671
732,AL,WALKER,233,2272,2505,0.09301397205588822
733,NM,BERNALILLO,3678,5818,9496,0.38732097725358045
734,TN,COFFEE,102,2304,2406,0.04239401496259352
735,MN,POLK,151,117,268,0.5634328358208955
736,GA,WHITFIELD,15,42,57,0.2631578947368421
737,OR,DESCHUTES,333,8852,9185,0.03625476320087098
738,NC,WILKES,170,3185,3355,0.05067064083457526
739,OH,PERRY,193,1501,1694,0.11393152302243212
740,MS,JONES,153,961,1114,0.13734290843806105
741,NV,NYE,153,656,809,0.18912237330037082
742,SC,SALUDA,63,938,1001,0.06293706293706294
743,ID,BONNER,97,35,132,0.7348484848484849
744,NY,CLINTON,23,131,154,0.14935064935064934
745,KS,SEWARD,393,2948,3341,0.11762945225980245
746,MS,NESHOBA,117,332,449,0.26057906458797325
747,AL,MARSHALL,149,3164,3313,0.044974343495321464
748,ND,MORTON,64,1190,1254,0.051036682615629984
749,OH,SCIOTO,504,1467,1971,0.2557077625570776
750,OH,PORTAGE,805,7973,8778,0.09170653907496013
751,ME,LINCOLN,22,848,870,0.02528735632183908
752,AL,RUSSELL,54,1128,1182,0.04568527918781726
753,IN,DEKALB,18,102,120,0.15
754,NH,NA,13,429,442,0.029411764705882353
755,OH,HENRY,188,1921,2109,0.08914177335229967
756,IA,WOODBURY,591,7136,7727,0.0764850524136146
757,MI,GENESEE,3213,12782,15995,0.20087527352297593
758,KY,BARREN,150,2866,3016,0.04973474801061008
759,PA,PHILADELPHIA,11644,840,12484,0.9327138737584107
760,NY,TIOGA,16,88,104,0.15384615384615385
761,CT,NEW LONDON,249,1059,1308,0.19036697247706422
762,IN,VIGO,146,128,274,0.5328467153284672
763,GA,TOOMBS,40,29,69,0.5797101449275363
764,SC,KERSHAW,316,4231,4547,0.06949637123378051
765,SC,HORRY,2254,25622,27876,0.08085808580858085
766,CA,TUOLUMNE,197,2255,2452,0.08034257748776509
767,OH,LAWRENCE,448,2741,3189,0.14048291000313579
768,VA,ROCKINGHAM,410,4150,4560,0.08991228070175439
769,MI,MUSKEGON,145,1981,2126,0.06820319849482596
770,GA,CLAYTON,63,63,126,0.5
771,WA,CLALLAM,70,1353,1423,0.049191848208011243
772,OH,BELMONT,328,4211,4539,0.07226261291033267
773,AZ,COCHISE,758,5731,6489,0.11681306826937896
774,FL,BAY,683,7798,8481,0.08053295601933734
775,CO,FREMONT,186,1661,1847,0.10070384407146725
776,NY,ORLEANS,39,233,272,0.14338235294117646
777,SC,CHEROKEE,441,3043,3484,0.12657864523536166
778,UT,SUMMIT,40,5175,5215,0.007670182166826462
779,WI,DODGE,640,6999,7639,0.08378059955491557
780,IN,HARRISON,50,257,307,0.16286644951140064
781,KS,RILEY,175,3646,3821,0.04579952891913112
782,SC,LANCASTER,403,5557,5960,0.06761744966442954
783,AR,HOT SPRING,231,2509,2740,0.0843065693430657
784,CO,ADAMS,3243,15184,18427,0.1759917512346014
785,AR,GARLAND,407,5700,6107,0.06664483379728181
786,IL,MCDONOUGH,166,1691,1857,0.08939149165320409
787,KY,SCOTT,82,3077,3159,0.025957581513137068
788,KS,DOUGLAS,486,6167,6653,0.07304975199158274
789,TN,CHEATHAM,84,1752,1836,0.0457516339869281
790,IA,CERRO GORDO,46,1092,1138,0.040421792618629174
791,CA,BUTTE,556,4471,5027,0.11060274517604933
792,IN,MARSHALL,24,81,105,0.22857142857142856
793,GA,BARTOW,9,23,32,0.28125
794,FL,SUMTER,442,4097,4539,0.09737827715355805
795,FL,NASSAU,244,3596,3840,0.06354166666666666
796,WI,OUTAGAMIE,755,12085,12840,0.0588006230529595
797,TN,CARTER,215,2440,2655,0.08097928436911488
798,MI,OCEANA,157,1492,1649,0.09520921770770163
799,TN,MCNAIRY,53,1064,1117,0.047448522829006266
800,NC,STOKES,173,2806,2979,0.05807317891910037
801,TN,MONROE,149,1914,2063,0.07222491517207949
802,MT,CASCADE,380,3763,4143,0.09172097513878832
803,VA,HARRISONBURG CITY,188,4213,4401,0.04271756418995683
804,AL,MADISON,448,9043,9491,0.04720261300179117
805,AL,DALLAS,201,1116,1317,0.15261958997722094
806,IA,WARREN,49,1194,1243,0.039420756234915526
807,MN,PINE,195,202,397,0.491183879093199
808,GA,CRISP,14,14,28,0.5
809,UT,UTAH,159,93952,94111,0.001689494320536388
810,ME,AROOSTOOK,77,1341,1418,0.054301833568406205
811,SC,UNION,287,1363,1650,0.17393939393939395
812,MI,MASON,139,1137,1276,0.10893416927899686
813,NC,ONSLOW,525,14291,14816,0.035434665226781854
814,NC,CALDWELL,202,4725,4927,0.04099857925715446
815,WI,PORTAGE,288,3171,3459,0.08326105810928014
816,AL,WINSTON,64,826,890,0.07191011235955057
817,AZ,MOHAVE,2125,12768,14893,0.14268448264285236
818,PA,LUZERNE,973,7984,8957,0.10863012169253099
819,IL,MACOUPIN,83,414,497,0.16700201207243462
820,IN,MADISON,151,471,622,0.2427652733118971
821,NY,FULTON,51,141,192,0.265625
822,GA,MURRAY,46,135,181,0.2541436464088398
823,WA,NA,582,9814,10396,0.055983070411696804
824,IL,ADAMS,369,3355,3724,0.09908700322234157
825,AZ,SANTA CRUZ,572,5360,5932,0.0964261631827377
826,NC,CHEROKEE,104,1331,1435,0.07247386759581882
827,CA,CALAVERAS,23,331,354,0.06497175141242938
828,AR,OUACHITA,89,1356,1445,0.061591695501730104
829,NM,RIO ARRIBA,252,330,582,0.4329896907216495
830,IN,CLINTON,35,136,171,0.2046783625730994
831,WA,LEWIS,401,4900,5301,0.07564610450858329
832,IN,HENDRICKS,215,921,1136,0.1892605633802817
833,WI,KEWAUNEE,125,1331,1456,0.08585164835164835
834,OH,CRAWFORD,325,3288,3613,0.08995294768890119
835,MI,CHEBOYGAN,42,764,806,0.052109181141439205
836,VA,MANASSAS CITY,176,2391,2567,0.06856252434748734
837,AK,MATANUSKA-SUSITNA,187,386,573,0.3263525305410122
838,DE,KENT,12,17,29,0.41379310344827586
839,WA,WALLA WALLA,278,5213,5491,0.05062830085594609
840,MI,KALAMAZOO,789,9243,10032,0.07864832535885168
841,NC,LEE,287,4307,4594,0.06247279059643013
842,MS,RANKIN,153,912,1065,0.14366197183098592
843,PA,CLARION,201,771,972,0.20679012345679013
844,AL,COVINGTON,78,1215,1293,0.060324825986078884
845,IN,ST. JOSEPH,176,706,882,0.19954648526077098
846,KS,HARVEY,232,2930,3162,0.07337128399746995
847,AR,PULASKI,3023,23557,26580,0.113732129420617
848,CA,KINGS,841,11061,11902,0.070660393211225
849,FL,CITRUS,459,5823,6282,0.07306590257879657
850,MI,WAYNE,5286,40454,45740,0.11556624398775689
851,IN,WASHINGTON,45,201,246,0.18292682926829268
852,TX,POTTER,0,1,1,0.0
853,KS,NA,3939,42135,46074,0.08549290272170855
854,CA,ALAMEDA,3887,46984,50871,0.07640895598671149
855,AR,LOGAN,82,1139,1221,0.06715806715806716
856,OH,WILLIAMS,176,2431,2607,0.06751054852320675
857,AL,DEKALB,103,2157,2260,0.045575221238938056
858,GA,COBB,209,137,346,0.6040462427745664
859,MI,BARRY,210,3315,3525,0.059574468085106386
860,NH,MERRIMACK,127,4420,4547,0.02793050362876622
861,NC,SCOTLAND,281,3012,3293,0.08533252353477072
862,KY,ROWAN,50,1881,1931,0.02589331952356292
863,OR,CLACKAMAS,883,10707,11590,0.07618636755823986
864,FL,OSCEOLA,1260,17227,18487,0.0681560015145778
865,IN,STARKE,33,382,415,0.07951807228915662
866,IA,WEBSTER,59,1149,1208,0.048841059602649006
867,FL,ORANGE,2294,29013,31307,0.07327434758999585
868,PA,VENANGO,255,954,1209,0.2109181141439206
869,IN,SULLIVAN,15,20,35,0.42857142857142855
870,GA,TIFT,158,497,655,0.24122137404580152
871,NY,GENESEE,19,178,197,0.09644670050761421
872,MI,NEWAYGO,266,2508,2774,0.0958904109589041
873,OH,ATHENS,208,3636,3844,0.054110301768990635
874,OH,DARKE,301,2957,3258,0.09238796807857581
875,AR,JOHNSON,115,1798,1913,0.06011500261369577
876,OK,LE FLORE,233,4010,4243,0.05491397596040537
877,MI,OTTAWA,995,20808,21803,0.04563592166215658
878,VA,BUCHANAN,111,1003,1114,0.09964093357271095
879,IN,JASPER,44,438,482,0.0912863070539419
880,TN,WILLIAMSON,249,9008,9257,0.02689856324943286
881,VA,WYTHE,169,1805,1974,0.085612968591692
882,WI,VERNON,77,757,834,0.09232613908872901
883,ID,ELMORE,137,1937,2074,0.06605593056894889
884,MI,GRAND TRAVERSE,283,4165,4448,0.06362410071942447
885,WI,SHAWANO,204,3150,3354,0.06082289803220036
886,NH,CHESHIRE,35,1931,1966,0.01780264496439471
887,MI,VAN BUREN,234,3396,3630,0.06446280991735537
888,NC,CLEVELAND,636,5915,6551,0.09708441459319188
889,AK,FAIRBANKS NORTH STAR,160,836,996,0.1606425702811245
890,MN,RAMSEY,3966,1587,5553,0.7142085359265262
891,FL,MANATEE,1181,18684,19865,0.05945129624968538
892,OH,MADISON,164,2345,2509,0.06536468712634516
893,CA,TEHAMA,201,2881,3082,0.06521739130434782
894,WI,GRANT,244,1900,2144,0.11380597014925373
895,TN,WEAKLEY,69,1763,1832,0.03766375545851528
896,PA,CHESTER,1497,17551,19048,0.07859092818143637
897,ID,CANYON,1148,19283,20431,0.05618912436983016
898,VA,STAUNTON CITY,82,1363,1445,0.05674740484429066
899,NC,HERTFORD,146,902,1048,0.13931297709923665
900,WI,RACINE,1296,16946,18242,0.07104484157438877
901,PA,PERRY,115,758,873,0.13172966781214204
902,IN,FAYETTE,47,315,362,0.1298342541436464
903,IL,TAZEWELL,497,5586,6083,0.08170310701956271
904,DE,NEW CASTLE,22,127,149,0.1476510067114094
905,WI,EAU CLAIRE,347,8297,8644,0.04014345210550671
906,WI,WAUSHARA,109,1058,1167,0.0934018851756641
907,NC,CUMBERLAND,1416,19149,20565,0.06885485047410649
908,ME,OXFORD,116,2616,2732,0.0424597364568082
909,OK,CLEVELAND,1602,18366,19968,0.08022836538461539
910,OK,CHEROKEE,355,3932,4287,0.0828084907860975
911,MD,WORCESTER,204,4789,4993,0.040857200080112156
912,TN,MORGAN,30,670,700,0.04285714285714286
913,GA,THOMAS,138,450,588,0.23469387755102042
914,IA,BUCHANAN,22,416,438,0.0502283105022831
915,IN,GREENE,31,110,141,0.2198581560283688
916,KY,JESSAMINE,219,3633,3852,0.05685358255451713
917,KS,SHAWNEE,932,8582,9514,0.09796089972671852
918,KY,HARDIN,463,7129,7592,0.06098524762908324
919,IL,MCHENRY,1876,13294,15170,0.12366512854317732
920,OR,POLK,198,3239,3437,0.05760837940064009
921,KS,SEDGWICK,3329,38531,41860,0.07952699474438604
922,AL,MORGAN,197,3915,4112,0.04790856031128405
923,NY,NIAGARA,174,433,607,0.28665568369028005
924,NY,PUTNAM,239,1943,2182,0.10953253895508708
925,TN,LAUDERDALE,80,1448,1528,0.05235602094240838
926,MN,STEELE,131,252,383,0.34203655352480417
927,CA,AMADOR,137,896,1033,0.13262342691190707
928,MN,BENTON,276,270,546,0.5054945054945055
929,CO,BROOMFIELD,216,2482,2698,0.08005930318754632
930,NY,ONTARIO,39,166,205,0.1902439024390244
931,CO,MONTROSE,172,1758,1930,0.08911917098445596
932,MI,WASHTENAW,1575,14364,15939,0.09881422924901186
933,ME,ANDROSCOGGIN,255,5974,6229,0.040937550168566386
934,CA,SAN LUIS OBISPO,851,17369,18220,0.04670691547749726
935,MI,EATON,746,5406,6152,0.12126137841352405
936,ME,SOMERSET,77,1604,1681,0.04580606781677573
937,CT,FAIRFIELD,3169,7942,11111,0.28521285212852127
938,OK,GRADY,295,4138,4433,0.06654635686893752
939,WI,COLUMBIA,290,3184,3474,0.08347725964306275
940,MN,CARLTON,175,119,294,0.5952380952380952
941,PA,BUTLER,460,3771,4231,0.10872134247222878
942,KY,FRANKLIN,181,3337,3518,0.05144968732234224
943,WA,THURSTON,734,10426,11160,0.06577060931899642
944,OK,GARFIELD,314,3774,4088,0.07681017612524461
945,MT,GALLATIN,438,10162,10600,0.041320754716981135
946,OH,SANDUSKY,371,3390,3761,0.09864397766551448
947,CA,NAPA,373,6844,7217,0.05168352501039213
948,LA,CADDO,166,387,553,0.30018083182640143
949,KY,MCCRACKEN,145,3029,3174,0.045683679899180846
950,GA,STEPHENS,14,136,150,0.09333333333333334
951,IA,BREMER,14,638,652,0.02147239263803681
952,GA,MCDUFFIE,12,12,24,0.5
953,ND,WARD,83,2043,2126,0.039040451552210725
954,VA,PRINCE WILLIAM,1673,25301,26974,0.06202268851486617
955,MD,SOMERSET,136,775,911,0.14928649835345773
956,MN,FREEBORN,173,189,362,0.47790055248618785
957,IN,HAMILTON,350,920,1270,0.2755905511811024
958,NV,NA,321,3159,3480,0.09224137931034483
959,TX,EL PASO,14,152,166,0.08433734939759036
960,IN,DELAWARE,231,608,839,0.27532777115613827
961,GA,COLUMBIA,86,153,239,0.3598326359832636
962,IL,FRANKLIN,206,190,396,0.5202020202020202
963,VA,LOUISA,110,1431,1541,0.07138221933809215
964,OH,HOLMES,264,1869,2133,0.12376933895921238
965,MT,RAVALLI,138,2304,2442,0.056511056511056514
966,OH,STARK,2089,9057,11146,0.1874214965009869
967,VA,NEW KENT,37,770,807,0.04584882280049566
968,VA,FLUVANNA,83,1029,1112,0.07464028776978417
969,CA,LOS ANGELES,92865,22342,115207,0.8060708116694298
970,MI,ALPENA,54,815,869,0.06214039125431531
971,MN,KANDIYOHI,266,297,563,0.4724689165186501
972,PR,NA,3328,2999,6327,0.5259996838944208
973,PA,LYCOMING,324,2383,2707,0.11968969338751385
974,OR,CROOK,80,970,1050,0.0761904761904762
975,AL,ST. CLAIR,233,2689,2922,0.07973990417522245
976,GA,GLYNN,6,25,31,0.1935483870967742
977,NA,NA,96,254,350,0.2742857142857143
978,CA,SONOMA,1600,19599,21199,0.07547525826689938
979,NC,CATAWBA,855,11148,12003,0.071232191952012
980,SC,DARLINGTON,493,5383,5876,0.0839006126616746
981,CT,WINDHAM,168,539,707,0.2376237623762376
982,FL,ESCAMBIA,1636,12800,14436,0.11332779163203104
983,MN,CLAY,315,383,698,0.4512893982808023
984,NM,NA,1195,1851,3046,0.3923177938279711
985,WI,MARINETTE,244,2522,2766,0.08821402747650037
986,NY,ST. LAWRENCE,25,184,209,0.11961722488038277
987,MN,CROW WING,367,382,749,0.48998664886515353
