state,county,total_percent_infected,percent_vaccinated,percent_republican,date_stay_at_home_effective,total_population,population_density_per_sqmi,percent_adults_with_obesity,percent_physically_inactive,percent_uninsured,high_school_graduation_rate,percent_some_college,percent_unemployed_CDC,median_household_income,per_capita_income,eightieth_percentile_income,twentieth_percentile_income,percent_below_poverty,percent_age_65_and_older,percent_age_17_and_younger
ALABAMA,AUTAUGA,0.1393080241278705,0.367,0.7276658791494814,0.1111111111111111,55049,92.6055333801792,0.33299999999999996,0.34700000000000003,0.087216859511,0.9,0.62009973681,0.055999999999999994,59338.0,26168.0,110026.0,21019.0,0.12300000000000001,0.14,0.252
ALABAMA,BALDWIN,0.1226694858310114,0.453,0.765457123352413,0.1111111111111111,199510,125.493186705965,0.31,0.265,0.11333404467,0.86361576801,0.67371619818,0.063,57588.0,28069.0,111447.0,25227.0,0.13,0.187,0.222
ALABAMA,BARBOUR,0.1060925220772907,0.374,0.5209666634826631,0.1111111111111111,26614,30.0765381110855,0.41700000000000004,0.235,0.12242792457,0.8141025641,0.34857648621000004,0.128,34382.0,17249.0,76557.0,13475.0,0.264,0.165,0.215
ALABAMA,BIBB,0.1342770384924533,0.321,0.7640322031976414,0.1111111111111111,22572,36.2554444767049,0.376,0.335,0.10206252586,0.8376383763799999,0.44137353434,0.071,46064.0,18988.0,87957.0,20134.0,0.165,0.149,0.21100000000000002
ALABAMA,BLOUNT,0.1312731297340297,0.262,0.8933484445833985,0.1111111111111111,57704,89.4904119021366,0.33799999999999997,0.303,0.13360759494,0.93468795356,0.53361073248,0.06,50412.0,21033.0,91702.0,20699.0,0.165,0.172,0.23600000000000002
ALABAMA,BULLOCK,0.1259281259281259,0.459,0.2420382165605095,0.1111111111111111,10552,16.9426930187977,0.37200000000000005,0.24600000000000002,0.11440376122,0.70247933884,0.34976094152000003,0.133,29267.0,17909.0,69189.0,9337.0,0.26899999999999996,0.151,0.21600000000000003
ALABAMA,BUTLER,0.1288050185109008,0.369,0.5612688960146587,0.1111111111111111,20280,26.1061634875127,0.433,0.395,0.11186009539000001,0.8158995815900001,0.41678756477,0.098,37365.0,19011.0,80036.0,14757.0,0.257,0.18100000000000002,0.233
ALABAMA,CALHOUN,0.1392456317943752,0.405,0.6866329600534848,0.1111111111111111,115883,191.261170368094,0.385,0.317,0.11929167524,0.92368045649,0.59243988636,0.11699999999999999,45400.0,22231.0,90822.0,18078.0,0.196,0.159,0.221
ALABAMA,CHAMBERS,0.123714440368076,0.272,0.5642446043165468,0.1111111111111111,34018,57.0263634811693,0.401,0.301,0.11938076809,0.8623853211,0.48460334029,0.075,39917.0,21532.0,80754.0,17019.0,0.203,0.184,0.214
ALABAMA,CHEROKEE,0.0790578714307527,0.283,0.8341563402590143,0.1111111111111111,25897,46.7691504420992,0.35,0.313,0.11172649917,0.94904458599,0.51836210062,0.059000000000000004,42132.0,22544.0,81932.0,17401.0,0.16399999999999998,0.203,0.20600000000000002
ALABAMA,CHILTON,0.1104258575672999,0.311,0.8210027764167892,0.1111111111111111,43817,63.2413693567896,0.377,0.332,0.13759705874,0.88205980066,0.39905569642000005,0.079,47547.0,22045.0,90324.0,17684.0,0.203,0.152,0.242
