state,county,num_infected,total_percent_infected,num_hosp,num_not_hosp,percent_hosp,total_percent_hosp,percent_vaccinated,total_population,population_density_per_sqmi,percent_uninsured,high_school_graduation_rate,percent_some_college,percent_unemployed_CDC,median_household_income,per_capita_income,eightieth_percentile_income,twentieth_percentile_income,percent_below_poverty
ALABAMA,SHELBY,6910,0.03355167005744085,299,6611,0.0432706222865412,0.0014518016421381785,0.44,205951,262.234818984604,0.078591340516,0.9422158548199999,0.76467547284,0.046,75663.0,34117.0,136513.0,32658.0,0.085
ALABAMA,ST. CLAIR,2922,0.033750693032711145,233,2689,0.0797399041752224,0.002691277028275735,0.39,86576,137.008095115931,0.10041068328,0.88405797101,0.55491864721,0.064,57284.0,24474.0,98954.0,23476.0,0.13699999999999998
ALABAMA,TALLADEGA,2439,0.030089936711203226,186,2253,0.076260762607626,0.002294681520411562,0.34,81057,110.015667719794,0.10302041075,0.92702394527,0.52011855126,0.12,41630.0,20430.0,82924.0,16556.0,0.20800000000000002
ALABAMA,TALLAPOOSA,1449,0.03537770398945261,157,1292,0.1083505866114561,0.003833194980223644,0.43,40958,57.1623727030297,0.11904836931,0.8989247311799999,0.49884151993000003,0.098,42205.0,21410.0,87176.0,15691.0,0.23399999999999999
ALABAMA,TUSCALOOSA,6838,0.033772737824182227,480,6358,0.0701959637320854,0.0023707098794395246,0.44,202471,153.192540576555,0.093086830807,0.88524590164,0.6430493925899999,0.07,52557.0,23896.0,103302.0,20589.0,0.18
ALABAMA,WALKER,2505,0.0381900507676124,233,2272,0.0930139720558882,0.003552208314911652,0.4,65593,82.9038880658283,0.11670766468,0.90358467244,0.5290789473699999,0.11,45434.0,20410.0,85878.0,17005.0,0.21899999999999997
ALABAMA,WINSTON,890,0.03706325740224045,64,826,0.0719101123595505,0.002665223004206055,0.4,24013,39.1742633653114,0.12772754344999998,0.92857142857,0.53070926032,0.087,41156.0,19299.0,75474.0,17336.0,0.20600000000000002
ARIZONA,APACHE,3226,0.04459126973156775,1225,2001,0.379727216367018,0.016932518729439086,0.38,72346,6.46092981529062,0.1917271189,0.72588420108,0.49474891356999995,0.158,33652.0,13428.0,73095.0,9578.0,0.36200000000000004
ARIZONA,COCHISE,6489,0.050625307192398016,758,5731,0.1168130682693789,0.00591369746522387,0.33,128177,20.7925210097417,0.10456419859,0.87700408998,0.65338994474,0.086,49164.0,23757.0,93200.0,19650.0,0.18899999999999997
ARIZONA,COCONINO,10134,0.07340074168501565,1439,8695,0.14199723702388,0.010422702514775756,0.39,138064,7.41535790815756,0.13116749119999999,0.81590473146,0.7002411318699999,0.08199999999999999,60187.0,24711.0,110744.0,21815.0,0.222
ARIZONA,GILA,5632,0.10590646683841366,717,4915,0.1273082386363636,0.013482765753398898,0.38,53179,11.1767763237915,0.13477246208000002,0.75171768707,0.50453608247,0.121,43585.0,21470.0,84705.0,18080.0,0.212
ARIZONA,GRAHAM,2325,0.06195209038343681,308,2017,0.1324731182795699,0.008206986597031628,0.38,37529,8.11841078405483,0.10018351118,0.85559772296,0.55466437506,0.14400000000000002,50157.0,17710.0,91804.0,19569.0,0.225
ARIZONA,MARICOPA,269014,0.06579693676167266,49857,219157,0.1853323618845115,0.012194301694806642,0.47,4088549,444.446743803851,0.12081175995,0.7764787774699999,0.6536831258,0.068,65234.0,28791.0,121054.0,27010.0,0.165
ARIZONA,MOHAVE,14893,0.07313791257630298,2125,12768,0.1426844826428523,0.010435645217527956,0.38,203629,15.2977006966314,0.13362976830999998,0.7823018549699999,0.47836163031,0.11699999999999999,45129.0,22026.0,82349.0,19777.0,0.193
ARIZONA,NAVAJO,6877,0.06355293921947343,1875,5002,0.2726479569579758,0.017327579036863848,0.39,108209,10.8754021429262,0.15120113587,0.78216307692,0.51599839615,0.185,40650.0,16564.0,82215.0,14269.0,0.299
ARIZONA,PIMA,59550,0.05935188341316685,8701,50849,0.146112510495382,0.008672052688127032,0.47,1003338,109.210301111758,0.1086259278,0.73417255075,0.66878790117,0.092,53395.0,26204.0,101894.0,21344.0,0.191
ARIZONA,PINAL,25591,0.06436303457711694,5396,20195,0.2108553788441249,0.0135712920393155,0.42,397604,74.0990351837614,0.11027964753,0.80753066589,0.5333965416,0.094,58848.0,21982.0,98542.0,24253.0,0.165
ARIZONA,SANTA CRUZ,5932,0.1274410810578555,572,5360,0.0964261631827377,0.012288654478269276,0.34,46547,37.6313295971685,0.13993283224,0.89797927461,0.52813981043,0.09699999999999999,40545.0,18860.0,82421.0,18028.0,0.21899999999999997
ARIZONA,YAVAPAI,9576,0.0438088441162746,1767,7809,0.1845238095238095,0.008083774807169718,0.42,218586,26.9078352550054,0.12924381971,0.82083333333,0.59569615232,0.085,48758.0,26584.0,92521.0,22249.0,0.147
ARIZONA,YUMA,19097,0.09393876788068395,2301,16796,0.1204901293396868,0.01131869429195443,0.39,203292,36.8681664881364,0.14199480988,0.8875193661999999,0.5533133351499999,0.125,44116.0,19483.0,86694.0,19879.0,0.205
ARKANSAS,BAXTER,1711,0.041739851678376266,212,1499,0.1239041496201052,0.005171740827478532,0.47,40992,73.9549470414219,0.08383760202599999,0.8587570621499999,0.61727600412,0.062,39686.0,23068.0,77591.0,20562.0,0.138
ARKANSAS,BENTON,15472,0.06309153410457895,779,14693,0.0503490175801447,0.003176596759789749,0.51,245231,289.364376008057,0.10426607884,0.9044628099199999,0.61882773715,0.034,68978.0,28996.0,124264.0,29912.0,0.114
ARKANSAS,BOONE,2214,0.05935497707836251,138,2076,0.062330623306233,0.0036996327176215117,0.46,37301,63.1866086673998,0.086164801628,0.9259259259300001,0.59392393321,0.084,44482.0,21719.0,84500.0,20876.0,0.175
ARKANSAS,CARROLL,1937,0.06995305164319249,120,1817,0.0619514713474445,0.004333694474539545,0.42,27690,43.9538193778416,0.1277965783,0.82278481013,0.45073848827,0.06,45023.0,20888.0,75744.0,19650.0,0.175
ARKANSAS,CLEBURNE,1004,0.03923867589010044,132,872,0.1314741035856573,0.005158869738539102,0.44,25587,46.2117580365208,0.09121769601400001,0.9204545454499999,0.45816812054000006,0.085,44902.0,25078.0,82092.0,20905.0,0.155
ARKANSAS,COLUMBIA,931,0.03852201257861635,96,835,0.1031149301825993,0.003972194637537239,0.46,24168,31.5481481464735,0.082783138649,0.90650406504,0.56908665105,0.09300000000000001,40909.0,19922.0,81355.0,13628.0,0.249
ARKANSAS,CONWAY,1358,0.06448243114909781,123,1235,0.0905743740795287,0.005840455840455841,0.27,21060,38.1344534855172,0.085021946967,0.85520361991,0.51305057096,0.07200000000000001,44565.0,21896.0,81892.0,17515.0,0.215
ARKANSAS,CRAIGHEAD,8973,0.08721472726565842,952,8021,0.1060960659757049,0.009253139458030404,0.49,102884,145.464373379486,0.07940468863599999,0.9259259259300001,0.62565095473,0.063,45615.0,24226.0,92456.0,19299.0,0.18899999999999997
ARKANSAS,CRAWFORD,4366,0.0705023656886334,360,4006,0.0824553366926248,0.005813296300482827,0.44,61927,104.752015244676,0.098941616995,0.90337601863,0.5569579288,0.071,47363.0,20889.0,87936.0,20752.0,0.188
ARKANSAS,CRITTENDEN,3828,0.07731615196622972,383,3445,0.1000522466039707,0.007735654702995294,0.39,49511,81.121756750269,0.07988737911600001,0.89081225033,0.5511682813600001,0.091,42606.0,20133.0,83533.0,17955.0,0.24600000000000002
ARKANSAS,FAULKNER,7427,0.061677337917403686,549,6878,0.0739194829675508,0.004559156929669399,0.48,120417,185.853911076486,0.079798883958,0.93313298272,0.66739759403,0.057999999999999996,53882.0,24809.0,104570.0,21286.0,0.161
ARKANSAS,GARLAND,6107,0.062881619456543,407,5700,0.0666448337972818,0.004190735077585231,0.54,97119,143.28268139418,0.098247843604,0.8524027460000001,0.61372137579,0.091,43610.0,24602.0,89048.0,18757.0,0.20600000000000002
ARKANSAS,GREENE,3578,0.08179220482340839,339,3239,0.0947456679709334,0.0077494570808092356,0.45,43745,75.7242588885306,0.070139960619,0.95833333333,0.53989592368,0.08199999999999999,46512.0,21643.0,88513.0,21205.0,0.177
ARKANSAS,HEMPSTEAD,953,0.042912463976945245,69,884,0.0724029380902413,0.0031069884726224782,0.41,22208,30.5256227428296,0.1076914357,0.8191489361700001,0.54585152838,0.083,38682.0,17813.0,80618.0,18451.0,0.267
ARKANSAS,HOT SPRING,2740,0.0819377990430622,231,2509,0.0843065693430657,0.006907894736842105,0.54,33440,54.3556889452556,0.076132015306,0.9153439153399999,0.51773215119,0.068,47205.0,20522.0,82230.0,18218.0,0.17
ARKANSAS,INDEPENDENCE,1863,0.05031055900621118,246,1617,0.1320450885668277,0.006643262219821766,0.44,37030,48.471544547002,0.08140726779799999,0.8803986711,0.58550596553,0.067,45596.0,22035.0,83282.0,19696.0,0.192
ARKANSAS,JEFFERSON,5505,0.0760516681632935,606,4899,0.1100817438692098,0.008371900255577814,0.41,72385,83.1299494952528,0.072345256191,0.8137603796,0.491599073,0.09699999999999999,38596.0,19691.0,79077.0,15615.0,0.255
ARKANSAS,JOHNSON,1913,0.07350624399615754,115,1798,0.0601150026136957,0.004418828049951969,0.48,26025,39.438407167431,0.10567369301,0.91455696203,0.39080278129,0.057,39381.0,18871.0,70348.0,16470.0,0.214
ARKANSAS,LOGAN,1221,0.05566446318668794,82,1139,0.0671580671580671,0.003738317757009346,0.33,21935,30.9764205401334,0.096222131672,0.91930835735,0.48782862707,0.081,41471.0,20340.0,74194.0,18268.0,0.19
ARKANSAS,LONOKE,3955,0.05548618807783499,425,3530,0.1074589127686472,0.005962485444520826,0.49,71279,92.4585125516854,0.071151847302,0.90643274854,0.6068948534799999,0.055999999999999994,56651.0,24501.0,103116.0,25638.0,0.121
ARKANSAS,MILLER,1739,0.03982503549672514,144,1595,0.0828062104657849,0.003297760271149178,0.43,43666,69.8000099082146,0.080762711864,0.8740000000000001,0.56370896185,0.086,42162.0,21217.0,87114.0,17746.0,0.20600000000000002
ARKANSAS,MISSISSIPPI,3836,0.08678929387542704,444,3392,0.1157455683003128,0.010045476141994162,0.43,44199,49.0786322529837,0.07565356673,0.8658536585400001,0.46797799943999996,0.109,36718.0,19159.0,78492.0,16281.0,0.255
ARKANSAS,OUACHITA,1445,0.05843578130054999,89,1356,0.0615916955017301,0.0035991588482691688,0.48,24728,33.7453218566146,0.069505055881,0.9087591240899999,0.56390838567,0.079,37624.0,20033.0,75734.0,13711.0,0.245
ARKANSAS,POINSETT,2113,0.08756371472379926,288,1825,0.1362991008045433,0.011934855579959389,0.44,24131,31.8199518632404,0.095064828576,0.82119205298,0.45155709343,0.068,37370.0,17710.0,69517.0,16563.0,0.221
ARKANSAS,POPE,5097,0.080767585212417,423,4674,0.0829899941141848,0.006702901421395408,0.46,63107,77.6649485336019,0.10510778253,0.91363022942,0.53044389158,0.071,45788.0,20912.0,85688.0,17602.0,0.196
ARKANSAS,PULASKI,26580,0.06783969617616882,3023,23557,0.113732129420617,0.007715553105363368,0.5,391806,516.504512581489,0.076573374299,0.80418653948,0.68545297923,0.064,49957.0,28421.0,106383.0,21254.0,0.18
ARKANSAS,SALINE,6920,0.059873504243923965,580,6340,0.0838150289017341,0.005018299488652587,0.53,115577,159.732328144126,0.075056325079,0.93089430894,0.6756225841200001,0.047,63677.0,26963.0,111036.0,30401.0,0.085
ARKANSAS,SEBASTIAN,8449,0.06634419831803441,640,7809,0.075748609302876,0.005025480757905317,0.47,127351,239.428793555732,0.12859227185,0.87829614604,0.51520489523,0.054000000000000006,46843.0,23383.0,86596.0,18941.0,0.222
ARKANSAS,ST. FRANCIS,1688,0.06246530733079229,188,1500,0.1113744075829383,0.00695703659845317,0.42,27023,42.5696695094741,0.084730351765,0.8106060606100001,0.4446783318,0.11,33257.0,16540.0,64538.0,12478.0,0.24600000000000002
ARKANSAS,UNION,1931,0.047875241731541625,124,1807,0.064215432418436,0.0030743293499281,0.45,40334,38.811994849398,0.08895180610400001,0.88316151203,0.55710218285,0.09,45335.0,22240.0,90628.0,15872.0,0.207
ARKANSAS,WASHINGTON,17668,0.0803346519347065,904,16764,0.0511659497396422,0.00411039876324285,0.49,219930,233.467553398871,0.12418161979,0.87382419721,0.6280121414900001,0.052000000000000005,50893.0,25249.0,101471.0,21614.0,0.19
ARKANSAS,WHITE,3669,0.04654732755667762,234,3435,0.0637775960752248,0.0029686766552909686,0.48,78823,76.1503471748177,0.085383799864,0.8627243928199999,0.54946808511,0.063,44811.0,22510.0,91617.0,18395.0,0.177
ARKANSAS,YELL,2229,0.10264321237797017,172,2057,0.0771646478241363,0.007920427334684104,0.37,21716,23.3451085309239,0.12009593969999999,0.8732876712300001,0.45871197155,0.068,41729.0,18981.0,88194.0,20184.0,0.175
CALIFORNIA,ALAMEDA,50871,0.03169104239489116,3887,46984,0.0764089559867114,0.002421479463524246,0.44,1605217,2171.87426566942,0.057827935577,0.86814128944,0.7555903676,0.071,101744.0,39042.0,183864.0,35306.0,0.12
CALIFORNIA,AMADOR,1033,0.027946865784703623,137,896,0.132623426911907,0.003706409111814517,0.46,36963,62.1674670419954,0.061959071423,0.8848314606700001,0.60956274,0.11599999999999999,58515.0,27496.0,110741.0,26061.0,0.11199999999999999
CALIFORNIA,BUTTE,5027,0.022454294098991856,556,4471,0.1106027451760493,0.0024835065683388646,0.39,223877,136.805354101919,0.071636527881,0.8451454321999999,0.6897532127799999,0.107,50945.0,25077.0,103590.0,18583.0,0.213
CALIFORNIA,CALAVERAS,354,0.007904079308727979,23,331,0.0649717514124293,0.0005135418759908009,0.4,44787,43.9082937177742,0.073307759688,0.89748953975,0.56626950006,0.096,62984.0,30577.0,121160.0,26121.0,0.127
CALIFORNIA,COLUSA,1724,0.08070783203033566,90,1634,0.0522041763341067,0.00421328589485511,0.43,21361,18.5630333026523,0.10728094538,0.8934426229499999,0.49083503055,0.087,57249.0,25745.0,101347.0,24028.0,0.135
CALIFORNIA,CONTRA COSTA,43320,0.03910011959293273,6879,36441,0.1587950138504155,0.006208904032312656,0.45,1107925,1532.91656449364,0.058956173288,0.87897242055,0.71497177436,0.077,101463.0,40792.0,184303.0,38923.0,0.102
CALIFORNIA,DEL NORTE,875,0.031670768785290286,20,855,0.0228571428571428,0.0007239032865209208,0.36,27628,27.4572023087311,0.06233441639599999,0.8097826087,0.43697702218,0.10400000000000001,48518.0,20282.0,86087.0,16967.0,0.217
CALIFORNIA,EL DORADO,4477,0.02446448087431694,321,4156,0.0716997989725262,0.0017540983606557376,0.45,183000,107.151384438033,0.054030715273,0.89364640884,0.70993512276,0.096,81869.0,37089.0,156727.0,32169.0,0.098
CALIFORNIA,FRESNO,52577,0.0545880227584202,4219,48358,0.0802442132491393,0.004380372939075543,0.44,963160,161.637097134761,0.087343786523,0.81496114843,0.54534644783,0.11900000000000001,52318.0,21057.0,106175.0,20695.0,0.26899999999999996
CALIFORNIA,GLENN,1664,0.05947955390334572,146,1518,0.0877403846153846,0.005218758936231055,0.37,27976,21.291599998664,0.10980544077,0.81696428571,0.44569672131,0.099,47365.0,20362.0,93948.0,17863.0,0.203
CALIFORNIA,HUMBOLDT,4007,0.029641520320752762,231,3776,0.0576491140504117,0.0017088073855986744,0.37,135182,37.8876959126236,0.08879552331299999,0.83822422874,0.6745540383899999,0.095,49471.0,24038.0,92947.0,19277.0,0.21
CALIFORNIA,IMPERIAL,17216,0.09628258401516719,2094,15122,0.1216310408921933,0.011710950913554839,0.31,178807,42.8118432616973,0.07904401872700001,0.85245901639,0.5207210207499999,0.171,46633.0,16311.0,97720.0,16439.0,0.24100000000000002
CALIFORNIA,KERN,39259,0.04505604605336397,6541,32718,0.1666114776229654,0.007506854408799351,0.38,871337,107.150193194715,0.085992791008,0.8578053653000001,0.46398403077,0.11900000000000001,51586.0,21094.0,106826.0,21766.0,0.231
CALIFORNIA,KINGS,11902,0.07920884327936058,841,11061,0.070660393211225,0.005596928011925915,0.35,150261,108.146543955,0.09004126015700001,0.80448430493,0.5110249841200001,0.11699999999999999,58255.0,19123.0,103069.0,24279.0,0.21600000000000003
CALIFORNIA,LAKE,3049,0.04758411885885511,193,2856,0.0632994424401443,0.0030120481927710845,0.27,64076,50.9961416194302,0.09244419003999998,0.7806191117100001,0.494992324,0.13699999999999998,45086.0,21799.0,92579.0,17043.0,0.24600000000000002
CALIFORNIA,LASSEN,3206,0.10035999373923932,89,3117,0.027760449157829,0.002786038503678197,0.33,31945,7.03451766635394,0.047716428085000005,0.8630573248400001,0.37114661654000003,0.094,57705.0,20072.0,107277.0,23441.0,0.162
CALIFORNIA,LOS ANGELES,115207,0.011455227646387074,92865,22342,0.8060708116694298,0.009233724646781322,0.38,10057155,2478.24064467614,0.10059485018,0.81568783693,0.63040266045,0.08900000000000001,67986.0,29301.0,134568.0,25104.0,0.17800000000000002
CALIFORNIA,MADERA,8960,0.05842233611100244,529,8431,0.0590401785714285,0.003449265156553604,0.36,153366,71.7631848573455,0.1038586454,0.83205417607,0.45126793501,0.08199999999999999,53632.0,19021.0,106573.0,23346.0,0.221
CALIFORNIA,MARIN,7459,0.02875947531982819,425,7034,0.0569781472047191,0.0016386616183036574,0.48,259358,498.296638027549,0.054131949118999996,0.87120913746,0.75947813021,0.051,122933.0,63608.0,236506.0,41789.0,0.081
CALIFORNIA,MENDOCINO,3742,0.04281023693212369,330,3412,0.0881881346873329,0.003775354940566761,0.28,87409,24.9287358799456,0.1072739553,0.8354066985599999,0.57193349263,0.11,51386.0,25278.0,97900.0,19745.0,0.20199999999999999
CALIFORNIA,MERCED,17562,0.06627144803227157,1760,15802,0.1002163762669399,0.006641484371757087,0.41,265001,136.936495464663,0.08747123782199999,0.8848202396799999,0.47637899920000004,0.157,56169.0,19130.0,98746.0,21604.0,0.242
CALIFORNIA,MONTEREY,19314,0.044895293130420434,1449,17865,0.0750232991612302,0.0033681930074546547,0.43,430201,131.135610521445,0.11469413146999999,0.84706099134,0.46897482768000004,0.069,69665.0,25947.0,131618.0,31109.0,0.161
CALIFORNIA,NAPA,7217,0.05124873067609694,373,6844,0.0516835250103921,0.0026487150536489068,0.41,140823,188.183083044538,0.08537529017300001,0.86951364176,0.6402762714799999,0.066,85624.0,38057.0,163017.0,36420.0,0.08800000000000001
